merchant_id,merchant_segment,category,country,pricing_plan,risk_tier
M00119,Enterprise,Travel,India,Enterprise,Low
M00120,SME,Food,India,Standard,Medium
M00121,SME,Food,India,Promotional,Low
M00122,SME,Retail,India,Promotional,Medium
M00123,SME,Retail,Singapore,Growth,Low
M00124,Enterprise,Digital Services,India,Enterprise,Medium
M00125,SME,Education,India,Growth,Low
M00126,Enterprise,Retail,UAE,Standard,Low
M00127,SME,Food,India,Growth,Low
M00128,SME,Education,India,Standard,Low
M00129,SME,Digital Services,Singapore,Standard,Low
M00130,SME,Professional Services,India,Standard,Low
M00131,SME,Education,Singapore,Standard,Medium
M00132,Enterprise,Professional Services,India,Standard,Medium
M00133,SME,Retail,India,Standard,Low
M00134,SME,Retail,UAE,Promotional,High
M00135,SME,Healthcare,India,Growth,High
M00136,SME,Healthcare,India,Growth,High
M00137,SME,Food,India,Growth,Medium
M00138,SME,Travel,India,Standard,Low
M00139,Strategic,Electronics,India,Enterprise,Low
M00140,SME,Professional Services,India,High Risk,Low
M00141,SME,Professional Services,Singapore,Growth,Medium
M00142,SME,Digital Services,Singapore,Standard,Medium
M00143,SME,Healthcare,India,Standard,Medium
M00144,SME,Electronics,Singapore,Standard,Medium
M00145,Strategic,Electronics,UAE,Enterprise,Low
M00146,Enterprise,Professional Services,UAE,Enterprise,Medium
M00147,SME,Electronics,India,Standard,Low
M00148,SME,Digital Services,UAE,Growth,Low
M00149,SME,Education,India,Promotional,Low
M00150,SME,Digital Services,Singapore,Standard,Low
M00151,SME,Electronics,Singapore,Growth,Medium
M00152,Enterprise,Education,UAE,Enterprise,Low
M00153,SME,Retail,India,Standard,Medium
M00154,SME,Education,Singapore,Growth,Medium
M00155,Enterprise,Professional Services,India,Standard,Low
M00156,Strategic,Electronics,UAE,Enterprise,Low
M00157,SME,Retail,UAE,Growth,Low
M00158,SME,Retail,India,High Risk,Low
M00159,Enterprise,Digital Services,India,Standard,Low
M00160,SME,Digital Services,India,Standard,Low
M00161,Strategic,Retail,India,Enterprise,Low
M00162,SME,Professional Services,UAE,High Risk,Low
M00163,SME,Digital Services,Singapore,Standard,Low
M00164,SME,Digital Services,India,Growth,High
M00165,SME,Electronics,Singapore,Standard,Medium
M00166,Enterprise,Education,Singapore,Standard,Low
M00167,Enterprise,Digital Services,India,Enterprise,Medium
M00168,Enterprise,Digital Services,India,Standard,Low
M00169,SME,Professional Services,Singapore,Standard,Low
M00170,Enterprise,Retail,India,Standard,Low
M00171,Enterprise,Healthcare,India,Enterprise,Medium
M00172,Enterprise,Digital Services,India,Enterprise,Low
M00173,SME,Electronics,UAE,Growth,Low
M00174,SME,Electronics,India,High Risk,Medium
M00175,SME,Retail,UAE,Promotional,High
M00176,SME,Travel,Singapore,Standard,Low
M00177,SME,Retail,India,Growth,Low
M00178,Enterprise,Food,Singapore,Standard,High
M00179,Enterprise,Electronics,India,Standard,Low
M00180,SME,Retail,UAE,Promotional,Low
M00181,SME,Food,UAE,High Risk,High
M00182,SME,Electronics,India,Standard,Medium
M00183,Enterprise,Professional Services,Singapore,Standard,Low
M00184,SME,Digital Services,India,Standard,Medium
M00185,SME,Electronics,India,Promotional,Medium
M00186,SME,Education,India,Promotional,Low
M00187,SME,Travel,Singapore,Growth,Low
M00188,SME,Retail,India,Promotional,Low
M00189,SME,Food,India,Growth,Medium
M00190,SME,Food,UAE,Growth,Medium
M00191,Enterprise,Education,Singapore,Growth,Low
M00192,Strategic,Retail,UAE,Enterprise,Medium
M00193,SME,Travel,India,High Risk,Medium
M00194,Strategic,Travel,Singapore,Enterprise,Low
M00195,SME,Professional Services,UAE,Growth,Medium
M00196,SME,Professional Services,India,Standard,Medium
M00197,SME,Retail,Singapore,Standard,Low
M00198,Enterprise,Retail,India,Standard,High
M00199,Enterprise,Electronics,Singapore,Enterprise,Low
M00200,SME,Retail,Singapore,High Risk,Low
M00201,SME,Professional Services,UAE,Standard,Medium
M00202,Enterprise,Education,India,Enterprise,Medium
M00203,SME,Food,UAE,Promotional,High
M00204,Enterprise,Healthcare,India,Standard,Low
M00205,SME,Travel,India,Growth,Low
M00206,SME,Retail,India,Standard,Low
M00207,SME,Electronics,Singapore,Promotional,Medium
M00208,SME,Professional Services,India,Growth,Low
M00209,SME,Digital Services,UAE,High Risk,Medium
M00210,SME,Electronics,India,Growth,Low
M00211,Enterprise,Professional Services,India,Standard,Low
M00212,SME,Travel,UAE,Promotional,Low
M00213,SME,Education,India,Growth,High
M00214,Enterprise,Travel,Singapore,Standard,Low
M00215,Enterprise,Retail,India,Standard,Low
M00216,SME,Healthcare,India,Standard,Low
M00217,SME,Retail,India,Standard,High
M00218,SME,Retail,India,Standard,Medium
M00219,SME,Education,Singapore,Promotional,High
M00220,SME,Retail,Singapore,Growth,Low
M00221,SME,Retail,UAE,Growth,Low
M00222,SME,Retail,India,Promotional,Low
M00223,Enterprise,Electronics,India,Standard,Medium
M00224,Enterprise,Healthcare,Singapore,Enterprise,Low
M00225,Enterprise,Electronics,India,Enterprise,Medium
M00226,SME,Electronics,UAE,Standard,Low
M00227,Strategic,Professional Services,India,Enterprise,Medium
M00228,SME,Retail,UAE,Standard,Low
M00229,SME,Electronics,India,Growth,Low
M00230,Enterprise,Food,India,Enterprise,Medium
M00231,SME,Retail,India,Standard,Low
M00232,SME,Digital Services,India,High Risk,High
M00233,Enterprise,Education,Singapore,Growth,Medium
M00234,Enterprise,Retail,UAE,Standard,Low
M00235,SME,Retail,India,Standard,Low
M00236,Enterprise,Food,India,Standard,Low
M00237,SME,Electronics,India,Growth,Low
M00238,Enterprise,Education,India,Enterprise,Low
M00239,SME,Healthcare,India,Growth,Low
M00240,Strategic,Retail,Singapore,Enterprise,Medium
M00241,Enterprise,Education,Singapore,Growth,Low
M00242,SME,Retail,Singapore,Promotional,Low
M00243,Enterprise,Electronics,Singapore,Enterprise,Low
M00244,Enterprise,Professional Services,UAE,Enterprise,Medium
M00245,SME,Education,India,Growth,Low
M00246,Strategic,Professional Services,India,Promotional,Low
M00247,Strategic,Healthcare,India,Enterprise,Low
M00248,SME,Retail,India,Standard,Medium
M00249,SME,Food,India,Standard,Low
M00250,SME,Electronics,India,Standard,Medium
M00251,SME,Food,India,High Risk,Low
M00252,SME,Food,Singapore,High Risk,Medium
M00253,SME,Food,Singapore,Standard,Medium
M00254,Strategic,Education,India,Enterprise,Medium
M00255,Enterprise,Retail,Singapore,Standard,Medium
M00256,Enterprise,Digital Services,Singapore,Standard,Low
M00257,Strategic,Healthcare,India,Enterprise,Low
M00258,SME,Electronics,UAE,Growth,Medium
M00259,Enterprise,Digital Services,India,Enterprise,Low
M00260,SME,Education,Singapore,Standard,Low
M00261,SME,Retail,UAE,Promotional,Medium
M00262,SME,Electronics,Singapore,Growth,Low
M00263,SME,Food,Singapore,Growth,Low
M00264,SME,Digital Services,UAE,Promotional,Medium
M00265,SME,Retail,India,Promotional,Medium
M00266,Strategic,Retail,India,Enterprise,Medium
M00267,SME,Retail,Singapore,Growth,Medium
M00268,SME,Electronics,UAE,Promotional,Low
M00269,Enterprise,Digital Services,Singapore,Standard,Medium
M00270,SME,Digital Services,UAE,Growth,Medium
M00271,Enterprise,Professional Services,India,Enterprise,Low
M00272,SME,Retail,UAE,Standard,High
M00273,SME,Retail,UAE,Standard,Low
M00274,SME,Retail,India,Growth,Low
M00275,SME,Food,UAE,Standard,Low
M00276,SME,Electronics,India,High Risk,High
M00277,SME,Electronics,UAE,Growth,Low
M00278,Enterprise,Digital Services,UAE,Standard,Low
M00279,SME,Digital Services,India,Growth,Medium
M00280,SME,Electronics,Singapore,Growth,Low
M00281,Strategic,Digital Services,Singapore,Promotional,Low
M00282,SME,Travel,India,Promotional,Low
M00283,SME,Digital Services,India,Standard,Low
M00284,SME,Healthcare,India,Standard,Low
M00285,SME,Digital Services,Singapore,High Risk,Medium
M00286,Enterprise,Travel,India,Standard,Low
M00287,Enterprise,Education,UAE,Standard,Medium
M00288,SME,Food,India,Promotional,High
M00289,Enterprise,Retail,Singapore,Standard,Medium
M00290,SME,Food,India,Growth,Medium
M00291,SME,Retail,Singapore,High Risk,High
M00292,Enterprise,Food,UAE,Standard,High
M00293,SME,Retail,India,Promotional,Medium
M00294,Enterprise,Professional Services,India,Enterprise,Low
M00295,SME,Travel,Singapore,High Risk,High
M00296,SME,Food,India,Promotional,Medium
M00297,Enterprise,Retail,India,Standard,Low
M00298,Enterprise,Retail,India,Enterprise,High
M00299,Enterprise,Digital Services,India,Standard,Low
M00300,Enterprise,Retail,Singapore,Enterprise,Low
M00301,SME,Digital Services,UAE,Growth,Low
M00302,Strategic,Retail,Singapore,Enterprise,Low
M00303,Enterprise,Food,India,Enterprise,Low
M00304,SME,Healthcare,India,Growth,Medium
M00305,Enterprise,Professional Services,UAE,Standard,Low
M00306,Enterprise,Food,UAE,Standard,Low
M00307,SME,Electronics,India,Growth,Medium
M00308,SME,Electronics,UAE,Growth,Low
M00309,SME,Travel,UAE,Promotional,High
M00310,SME,Electronics,India,Growth,Medium
M00311,SME,Digital Services,Singapore,High Risk,Medium
M00312,Enterprise,Retail,Singapore,Enterprise,Low
M00313,SME,Professional Services,India,Growth,High
M00314,SME,Retail,India,Standard,Low
M00315,SME,Food,India,Promotional,Low
M00316,SME,Food,UAE,Promotional,Medium
M00317,Enterprise,Digital Services,UAE,Standard,Medium
M00318,SME,Digital Services,India,Standard,Low
M00319,SME,Travel,Singapore,High Risk,Medium
M00320,SME,Education,India,High Risk,Low
M00321,Enterprise,Retail,India,Enterprise,Low
M00322,Strategic,Retail,Singapore,Enterprise,Medium
M00323,Enterprise,Electronics,Singapore,Growth,High
M00324,SME,Healthcare,India,Growth,High
M00325,Enterprise,Food,India,Standard,High
M00326,SME,Retail,Singapore,Growth,Low
M00327,SME,Food,Singapore,Growth,Low
M00328,SME,Travel,India,Growth,Medium
M00329,SME,Healthcare,Singapore,Growth,Medium
M00330,SME,Retail,Singapore,Growth,Low
M00331,SME,Food,Singapore,Promotional,Medium
M00332,SME,Digital Services,UAE,Promotional,Medium
M00333,Enterprise,Professional Services,India,Standard,High
M00334,SME,Retail,UAE,Growth,Low
M00335,Strategic,Retail,India,Promotional,Medium
M00336,SME,Professional Services,Singapore,Growth,Low
M00337,SME,Food,India,Growth,Low
M00338,SME,Healthcare,India,Growth,Low
M00339,SME,Healthcare,UAE,Standard,Low
M00340,Strategic,Education,India,Enterprise,Low
M00341,Enterprise,Travel,Singapore,Standard,Low
M00342,SME,Travel,UAE,High Risk,High
M00343,SME,Healthcare,India,Standard,Low
M00344,SME,Electronics,UAE,Growth,Medium
M00345,SME,Digital Services,Singapore,Growth,High
M00346,Enterprise,Food,UAE,Standard,Low
M00347,SME,Travel,Singapore,High Risk,Low
M00348,SME,Food,Singapore,Growth,Medium
M00349,SME,Professional Services,India,Promotional,Low
M00350,SME,Electronics,Singapore,Growth,Low
M00351,Enterprise,Education,India,Enterprise,Medium
M00352,SME,Education,Singapore,Growth,Low
M00353,SME,Healthcare,India,Growth,Medium
M00354,Enterprise,Food,India,Standard,Medium
M00355,SME,Digital Services,India,Standard,Medium
M00356,SME,Food,UAE,Standard,Low
M00357,SME,Travel,Singapore,Promotional,Low
M00358,Strategic,Retail,Singapore,Enterprise,Medium
M00359,Enterprise,Retail,UAE,Growth,Medium
M00360,Strategic,Retail,Singapore,Enterprise,Medium
M00361,Enterprise,Travel,India,Enterprise,Medium
M00362,SME,Retail,Singapore,Growth,Medium
M00363,SME,Travel,UAE,Growth,Medium
M00364,Enterprise,Retail,India,Enterprise,Low
M00365,SME,Education,Singapore,Standard,Medium
M00366,SME,Food,Singapore,Standard,Low
M00367,Strategic,Professional Services,India,Enterprise,Low
M00368,SME,Education,UAE,Growth,Medium
M00369,SME,Retail,India,Promotional,Medium
M00370,Enterprise,Education,India,Enterprise,Low
M00371,Enterprise,Electronics,UAE,Standard,High
M00372,SME,Education,Singapore,High Risk,Low
M00373,SME,Travel,India,Growth,Low
M00374,SME,Professional Services,India,Promotional,High
M00375,SME,Travel,UAE,Standard,Low
M00376,SME,Professional Services,India,Standard,Medium
M00377,Enterprise,Electronics,Singapore,Enterprise,Low
M00378,SME,Digital Services,India,Growth,Medium
M00379,Enterprise,Digital Services,UAE,Standard,Medium
M00380,Enterprise,Travel,Singapore,Growth,Low
M00381,SME,Healthcare,Singapore,Growth,Medium
M00382,SME,Education,Singapore,Growth,High
M00383,SME,Food,UAE,Promotional,Low
M00384,Enterprise,Retail,UAE,Enterprise,Low
M00385,Strategic,Travel,Singapore,Promotional,Medium
M00386,SME,Food,UAE,Growth,Low
M00387,Enterprise,Food,India,Enterprise,High
M00388,SME,Education,India,Standard,Low
M00389,Enterprise,Food,UAE,Growth,Low
M00390,SME,Healthcare,Singapore,Growth,Medium
M00391,Enterprise,Food,UAE,Enterprise,Low
M00392,Enterprise,Food,India,Enterprise,Low
M00393,Enterprise,Digital Services,Singapore,Enterprise,Low
M00394,Enterprise,Electronics,Singapore,Enterprise,Medium
M00395,SME,Food,Singapore,Standard,Low
M00396,SME,Professional Services,India,Promotional,Low
M00397,SME,Education,UAE,Promotional,Medium
M00398,SME,Travel,India,High Risk,Medium
M00399,SME,Digital Services,Singapore,Standard,Medium
M00400,SME,Retail,Singapore,Promotional,Low
M00401,Enterprise,Electronics,India,Enterprise,Low
M00402,SME,Education,Singapore,Standard,Medium
M00403,SME,Digital Services,UAE,Standard,Low
M00404,Enterprise,Digital Services,India,Growth,Low
M00405,SME,Retail,Singapore,High Risk,Low
M00406,SME,Digital Services,India,Promotional,Low
M00407,Enterprise,Electronics,UAE,Enterprise,Medium
M00408,SME,Professional Services,India,Promotional,Low
M00409,SME,Food,India,Growth,Low
M00410,SME,Food,Singapore,Standard,Low
M00411,SME,Electronics,India,Standard,Low
M00412,SME,Travel,India,Growth,Low
M00413,SME,Retail,UAE,Promotional,Medium
M00414,SME,Retail,Singapore,Promotional,Low
M00415,Enterprise,Professional Services,Singapore,Standard,Low
M00416,SME,Travel,Singapore,Growth,Low
M00417,SME,Healthcare,UAE,Growth,Low
M00418,SME,Food,India,Promotional,Medium
M00419,SME,Travel,India,Standard,Medium
M00420,SME,Professional Services,India,Promotional,Medium
M00421,SME,Food,Singapore,Standard,Low
M00422,Strategic,Digital Services,India,Enterprise,Low
M00423,SME,Travel,Singapore,Standard,Low
M00424,SME,Education,India,Growth,Medium
M00425,Strategic,Healthcare,Singapore,Enterprise,Low
M00426,SME,Education,Singapore,High Risk,Medium
M00427,Enterprise,Food,India,Standard,Low
M00428,SME,Retail,India,High Risk,Low
M00429,Enterprise,Electronics,UAE,Enterprise,Medium
M00430,Enterprise,Healthcare,Singapore,Standard,Low
M00431,SME,Healthcare,UAE,High Risk,Low
M00432,SME,Retail,India,Standard,Low
M00433,SME,Food,UAE,Standard,Medium
M00434,Strategic,Retail,Singapore,Enterprise,Low
M00435,SME,Education,India,Growth,Medium
M00436,Strategic,Education,India,Enterprise,High
M00437,Enterprise,Professional Services,Singapore,Growth,Low
M00438,SME,Professional Services,India,Promotional,Low
M00439,Enterprise,Digital Services,UAE,Standard,Medium
M00440,SME,Food,Singapore,Standard,Low
M00441,SME,Food,India,Standard,Low
M00442,SME,Retail,UAE,Standard,Low
M00443,SME,Electronics,India,Growth,Low
M00444,SME,Digital Services,India,Growth,Medium
M00445,SME,Digital Services,Singapore,Standard,Medium
M00446,SME,Electronics,Singapore,High Risk,Low
M00447,Enterprise,Professional Services,India,Standard,High
M00448,Strategic,Education,India,Enterprise,Medium
M00449,Enterprise,Food,India,Standard,Low
M00450,Enterprise,Professional Services,Singapore,Enterprise,Low
M00451,SME,Digital Services,Singapore,Promotional,Medium
M00452,SME,Electronics,Singapore,Growth,Low
M00453,SME,Travel,Singapore,High Risk,Low
M00454,SME,Education,India,Standard,Low
M00455,SME,Education,Singapore,Standard,Low
M00456,SME,Education,India,Standard,Medium
M00457,Strategic,Electronics,India,Enterprise,Low
M00458,SME,Food,Singapore,Promotional,Low
M00459,SME,Professional Services,India,Promotional,Low
M00460,Enterprise,Education,India,Growth,Medium
M00461,SME,Retail,India,Standard,Low
M00462,SME,Retail,India,Promotional,Medium
M00463,Strategic,Travel,India,Enterprise,Low
M00464,SME,Digital Services,India,High Risk,Low
M00465,Enterprise,Retail,India,Enterprise,Low
M00466,Strategic,Education,India,Promotional,Medium
M00467,SME,Electronics,India,Standard,Low
M00468,SME,Retail,India,Standard,Medium
M00469,Enterprise,Retail,Singapore,Standard,Low
M00470,Enterprise,Food,India,Growth,High
M00471,SME,Digital Services,Singapore,Promotional,Low
M00472,SME,Professional Services,India,Standard,Low
M00473,SME,Digital Services,India,Standard,Low
M00474,Enterprise,Professional Services,India,Enterprise,Low
M00475,SME,Travel,India,Promotional,High
M00476,SME,Education,India,Standard,Low
M00477,SME,Electronics,India,High Risk,Medium
M00478,SME,Electronics,India,Growth,Low
M00479,Strategic,Digital Services,Singapore,Enterprise,Medium
M00480,Strategic,Food,India,Promotional,Medium
M00481,SME,Retail,India,Growth,High
M00482,SME,Travel,UAE,Standard,Low
M00483,SME,Retail,India,Standard,Medium
M00484,SME,Retail,India,Standard,Low
M00485,SME,Healthcare,India,Growth,Low
M00486,SME,Retail,India,Standard,Medium
M00487,SME,Education,India,Growth,Low
M00488,SME,Professional Services,UAE,Standard,Medium
M00489,SME,Food,UAE,Promotional,High
M00490,SME,Retail,India,Growth,Medium
M00491,SME,Digital Services,India,High Risk,Low
M00492,SME,Electronics,Singapore,Standard,Medium
M00493,SME,Travel,India,Promotional,Low
M00494,Enterprise,Electronics,Singapore,Growth,Low
M00495,Enterprise,Travel,India,Enterprise,Medium
M00496,SME,Digital Services,India,High Risk,Medium
M00497,SME,Retail,India,Standard,High
M00498,SME,Food,UAE,Standard,Low
M00499,SME,Food,India,Growth,High
M00500,Enterprise,Healthcare,UAE,Enterprise,Medium
M00501,SME,Digital Services,Singapore,Promotional,Low
M00502,SME,Electronics,India,Standard,Low
M00503,Strategic,Retail,India,Enterprise,Low
M00504,Enterprise,Digital Services,India,Standard,Low
M00505,SME,Retail,Singapore,Promotional,Low
M00506,SME,Food,Singapore,Standard,Medium
M00507,SME,Food,Singapore,Promotional,Low
M00508,Enterprise,Retail,India,Enterprise,High
M00509,SME,Retail,India,Growth,Medium
M00510,SME,Electronics,Singapore,High Risk,Low
M00511,SME,Travel,UAE,Standard,Low
M00512,SME,Education,UAE,Standard,Medium
M00513,SME,Digital Services,Singapore,Growth,Medium
M00514,Enterprise,Travel,India,Enterprise,Medium
M00515,Strategic,Retail,India,Enterprise,Low
M00516,Enterprise,Food,India,Enterprise,Medium
M00517,SME,Retail,Singapore,Growth,Medium
M00518,SME,Professional Services,India,Standard,Low
M00519,SME,Professional Services,Singapore,Growth,Low
M00520,SME,Food,UAE,Growth,Medium
M00521,SME,Travel,India,Promotional,Low
M00522,Enterprise,Food,UAE,Growth,High
M00523,Enterprise,Retail,India,Standard,High
M00524,Enterprise,Education,India,Enterprise,Medium
M00525,SME,Retail,UAE,Standard,Medium
M00526,SME,Digital Services,UAE,Growth,Low
M00527,Strategic,Travel,Singapore,Promotional,High
M00528,Enterprise,Food,UAE,Standard,Low
M00529,SME,Retail,UAE,Standard,Low
M00530,SME,Food,Singapore,High Risk,Medium
M00531,SME,Retail,Singapore,Promotional,Low
M00532,Enterprise,Professional Services,India,Enterprise,Low
M00533,SME,Food,India,Promotional,Medium
M00534,SME,Retail,Singapore,Standard,Low
M00535,SME,Education,Singapore,Growth,Low
M00536,Enterprise,Retail,India,Enterprise,Low
M00537,SME,Food,India,Standard,Low
M00538,SME,Retail,UAE,Promotional,Low
M00539,Enterprise,Food,India,Standard,Medium
M00540,SME,Education,UAE,Standard,Low
M00541,SME,Healthcare,UAE,Standard,Low
M00542,Strategic,Food,Singapore,Enterprise,Low
M00543,Enterprise,Electronics,India,Standard,Low
M00544,SME,Professional Services,India,Standard,Low
M00545,Enterprise,Professional Services,India,Standard,Low
M00546,SME,Travel,Singapore,High Risk,Medium
M00547,Strategic,Healthcare,India,Enterprise,Low
M00548,Strategic,Food,UAE,Enterprise,Low
M00549,SME,Food,Singapore,Standard,Medium
M00550,SME,Electronics,India,Standard,Low
M00551,Enterprise,Retail,Singapore,Enterprise,Low
M00552,SME,Food,India,Promotional,High
M00553,SME,Digital Services,India,Standard,Low
M00554,SME,Retail,India,Standard,Low
M00555,SME,Electronics,India,Growth,Medium
M00556,SME,Education,UAE,Promotional,Medium
M00557,SME,Digital Services,Singapore,Standard,Medium
M00558,SME,Professional Services,Singapore,Promotional,Medium
M00559,Enterprise,Healthcare,Singapore,Standard,Low
M00560,SME,Electronics,Singapore,Growth,Medium
M00561,SME,Retail,Singapore,Promotional,Medium
M00562,SME,Food,UAE,Standard,Medium
M00563,SME,Digital Services,India,Growth,Medium
M00564,Enterprise,Digital Services,UAE,Standard,Low
M00565,SME,Retail,Singapore,Promotional,Low
M00566,SME,Digital Services,India,Standard,High
M00567,Enterprise,Retail,India,Enterprise,High
M00568,SME,Retail,UAE,Standard,Medium
M00569,SME,Food,UAE,Promotional,Low
M00570,SME,Digital Services,India,Promotional,Low
M00571,SME,Professional Services,India,Growth,Low
M00572,Enterprise,Digital Services,India,Enterprise,Medium
M00573,SME,Digital Services,India,Standard,Low
M00574,SME,Travel,India,Growth,Medium
M00575,SME,Retail,India,High Risk,Medium
M00576,SME,Digital Services,India,Promotional,Medium
M00577,SME,Travel,India,Promotional,High
M00578,SME,Digital Services,UAE,Growth,High
M00579,SME,Retail,India,High Risk,Medium
M00580,Enterprise,Education,Singapore,Standard,Low
M00581,Strategic,Healthcare,Singapore,Enterprise,High
M00582,SME,Electronics,UAE,Promotional,Low
M00583,Enterprise,Education,India,Enterprise,Low
M00584,SME,Travel,India,Growth,Medium
M00585,Enterprise,Professional Services,UAE,Growth,Low
M00586,SME,Healthcare,UAE,Standard,Medium
M00587,Enterprise,Electronics,Singapore,Standard,Low
M00588,Strategic,Travel,India,Enterprise,Medium
M00589,Enterprise,Food,India,Growth,High
M00590,Enterprise,Retail,India,Enterprise,Medium
M00591,SME,Retail,India,Promotional,Low
M00592,SME,Travel,India,Standard,Low
