merchant_id,snapshot_month,risk_score,risk_band
M00014,2026-02-01,0.181,Low
M00014,2026-03-01,0.1023,Low
M00014,2026-04-01,0.2844,Low
M00014,2026-05-01,0.2908,Low
M00014,2026-06-01,0.3392,Low
M00015,2026-01-01,0.4707,Medium
M00015,2026-02-01,0.4753,Medium
M00015,2026-03-01,0.5566,Medium
M00015,2026-04-01,0.5028,Medium
M00015,2026-05-01,0.6774,High
M00015,2026-06-01,0.5506,Medium
M00016,2026-01-01,0.3558,Medium
M00016,2026-02-01,0.2408,Low
M00016,2026-03-01,0.1907,Low
M00016,2026-04-01,0.3003,Low
M00016,2026-05-01,0.1579,Low
M00016,2026-06-01,0.1244,Low
M00017,2026-01-01,0.1685,Low
M00017,2026-02-01,0.1972,Low
M00017,2026-03-01,0.2308,Low
M00017,2026-04-01,0.1518,Low
M00017,2026-05-01,0.2071,Low
M00017,2026-06-01,0.3114,Low
M00018,2026-01-01,0.3259,Low
M00018,2026-02-01,0.2106,Low
M00018,2026-03-01,0.1642,Low
M00018,2026-04-01,0.2906,Low
M00018,2026-05-01,0.3305,Low
M00018,2026-06-01,0.226,Low
M00019,2026-01-01,0.4717,Medium
M00019,2026-02-01,0.5056,Medium
M00019,2026-03-01,0.5241,Medium
M00019,2026-04-01,0.3956,Medium
M00019,2026-05-01,0.5902,Medium
M00019,2026-06-01,0.5306,Medium
M00020,2026-01-01,0.2694,Low
M00020,2026-02-01,0.1627,Low
M00020,2026-03-01,0.1682,Low
M00020,2026-04-01,0.3301,Low
M00020,2026-05-01,0.3493,Low
M00020,2026-06-01,0.1832,Low
M00021,2026-01-01,0.2526,Low
M00021,2026-02-01,0.1339,Low
M00021,2026-03-01,0.3575,Medium
M00021,2026-04-01,0.3483,Low
M00021,2026-05-01,0.3558,Medium
M00021,2026-06-01,0.2865,Low
M00022,2026-01-01,0.2544,Low
M00022,2026-02-01,0.2677,Low
M00022,2026-03-01,0.1383,Low
M00022,2026-04-01,0.3015,Low
M00022,2026-05-01,0.2751,Low
M00022,2026-06-01,0.28,Low
M00023,2026-01-01,0.2609,Low
M00023,2026-02-01,0.1132,Low
M00023,2026-03-01,0.1506,Low
M00023,2026-04-01,0.359,Medium
M00023,2026-05-01,0.2409,Low
M00023,2026-06-01,0.2866,Low
M00024,2026-01-01,0.3329,Low
M00024,2026-02-01,0.2023,Low
M00024,2026-03-01,0.2886,Low
M00024,2026-03-01,0.2488,Low
M00024,2026-04-01,0.3937,Medium
M00024,2026-05-01,0.2827,Low
M00024,2026-06-01,0.2636,Low
M00025,2026-01-01,0.3169,Low
M00025,2026-02-01,0.2905,Low
M00025,2026-03-01,0.1913,Low
M00025,2026-04-01,0.1552,Low
M00025,2026-05-01,0.1665,Low
M00025,2026-06-01,0.311,Low
M00026,2026-01-01,0.2109,Low
M00026,2026-02-01,0.2694,Low
M00026,2026-03-01,0.2583,Low
M00026,2026-04-01,0.2279,Low
M00026,2026-05-01,0.35,Medium
M00026,2026-06-01,0.2516,Low
M00027,2026-01-01,0.2749,Low
M00027,2026-02-01,0.2804,Low
M00027,2026-03-01,0.1329,Low
M00027,2026-04-01,0.2931,Low
M00027,2026-05-01,0.4641,Medium
M00027,2026-06-01,0.2889,Low
M00028,2026-01-01,0.5201,Medium
M00028,2026-02-01,0.5926,Medium
M00028,2026-03-01,0.468,Medium
M00028,2026-04-01,0.4294,Medium
M00028,2026-05-01,0.6421,Medium
M00028,2026-06-01,0.6944,High
M00029,2026-01-01,0.8615,High
M00029,2026-02-01,0.7633,High
M00029,2026-03-01,0.8528,High
M00029,2026-04-01,0.9654,High
M00029,2026-05-01,0.7815,High
M00029,2026-06-01,0.8009,High
M00030,2026-01-01,0.181,Low
M00030,2026-02-01,0.0563,Low
M00030,2026-03-01,0.2378,Low
M00030,2026-04-01,0.0824,Low
M00030,2026-05-01,0.185,Low
M00030,2026-06-01,0.1847,Low
M00031,2026-01-01,0.1962,Low
M00031,2026-02-01,0.1851,Low
M00031,2026-03-01,0.2577,Low
M00031,2026-04-01,0.4131,Medium
M00031,2026-05-01,0.3024,Low
M00031,2026-06-01,0.3709,Medium
M00032,2026-01-01,0.1286,Low
M00032,2026-02-01,0.284,Low
M00032,2026-03-01,0.1478,Low
M00032,2026-04-01,0.1905,Low
M00032,2026-04-01,0.1941,Low
M00032,2026-05-01,0.2671,Low
M00032,2026-06-01,0.328,Low
M00033,2026-01-01,0.2002,Low
M00033,2026-02-01,0.1553,Low
M00033,2026-03-01,0.3519,Medium
M00033,2026-04-01,0.3411,Low
M00033,2026-05-01,0.4095,Medium
M00033,2026-06-01,0.2587,Low
M00034,2026-01-01,0.1356,Low
M00034,2026-02-01,0.2961,Low
M00034,2026-03-01,0.2013,Low
M00034,2026-04-01,0.379,Medium
M00034,2026-05-01,0.2957,Low
M00034,2026-06-01,0.1925,Low
M00035,2026-01-01,0.5128,Medium
M00035,2026-02-01,0.3468,Low
M00035,2026-03-01,0.4816,Medium
M00035,2026-04-01,0.712,High
M00035,2026-05-01,0.622,Medium
M00035,2026-06-01,0.4121,Medium
M00036,2026-01-01,0.6033,Medium
M00036,2026-02-01,0.7901,High
M00036,2026-03-01,0.4877,Medium
M00036,2026-04-01,0.5455,Medium
M00036,2026-05-01,0.575,Medium
M00036,2026-06-01,0.4605,Medium
M00036,2026-06-01,0.4537,Medium
M00037,2026-01-01,0.5262,Medium
M00037,2026-02-01,0.3583,Medium
M00037,2026-03-01,0.3893,Medium
M00037,2026-04-01,0.6831,High
M00037,2026-05-01,0.6763,High
M00037,2026-06-01,0.6438,Medium
M00038,2026-01-01,0.3566,Medium
M00038,2026-02-01,0.3242,Low
M00038,2026-03-01,0.151,Low
M00038,2026-04-01,0.3839,Medium
M00038,2026-05-01,0.302,Low
M00038,2026-06-01,0.2169,Low
M00039,2026-01-01,0.3002,Low
M00039,2026-02-01,0.2127,Low
M00039,2026-03-01,0.1608,Low
M00039,2026-04-01,0.1776,Low
M00039,2026-05-01,0.243,Low
M00039,2026-06-01,0.2395,Low
M00040,2026-01-01,0.475,Medium
M00040,2026-02-01,0.6076,Medium
M00040,2026-03-01,0.5014,Medium
M00040,2026-04-01,0.4873,Medium
M00040,2026-05-01,0.456,Medium
M00040,2026-06-01,0.4641,Medium
M00041,2026-01-01,0.236,Low
M00041,2026-02-01,0.2231,Low
M00041,2026-03-01,0.2433,Low
M00041,2026-04-01,0.271,Low
M00041,2026-05-01,0.1046,Low
M00041,2026-06-01,0.2769,Low
M00042,2026-01-01,0.2573,Low
M00042,2026-02-01,0.2435,Low
M00042,2026-03-01,0.1753,Low
M00042,2026-04-01,0.208,Low
M00042,2026-05-01,0.2372,Low
M00042,2026-06-01,0.2833,Low
M00043,2026-01-01,0.2081,Low
M00043,2026-02-01,0.1841,Low
M00043,2026-03-01,0.2641,Low
M00043,2026-04-01,0.1902,Low
M00043,2026-05-01,0.2466,Low
M00043,2026-06-01,0.2174,Low
M00044,2026-01-01,0.5274,Medium
M00044,2026-01-01,0.5426,Medium
M00044,2026-02-01,0.4123,Medium
M00044,2026-03-01,0.4635,Medium
M00044,2026-04-01,0.4322,Medium
M00044,2026-05-01,0.3644,Medium
M00044,2026-06-01,0.5081,Medium
M00045,2026-01-01,0.6631,Medium
M00045,2026-02-01,0.7414,High
M00045,2026-03-01,0.6196,Medium
M00045,2026-04-01,0.4758,Medium
M00045,2026-05-01,0.5548,Medium
M00045,2026-06-01,0.4711,Medium
M00046,2026-01-01,0.2401,Low
M00046,2026-02-01,0.1562,Low
M00046,2026-03-01,0.3653,Medium
M00046,2026-04-01,0.1499,Low
M00046,2026-05-01,0.2997,Low
M00046,2026-06-01,0.2799,Low
M00047,2026-01-01,0.5638,Medium
M00047,2026-02-01,0.5656,Medium
M00047,2026-03-01,0.4955,Medium
M00047,2026-04-01,0.4926,Medium
M00047,2026-05-01,0.5294,Medium
M00047,2026-06-01,0.5162,Medium
M00048,2026-01-01,0.5357,Medium
M00048,2026-02-01,0.5511,Medium
M00048,2026-03-01,0.425,Medium
M00048,2026-04-01,0.5289,Medium
M00048,2026-05-01,0.6048,Medium
M00048,2026-06-01,0.4851,Medium
M00049,2026-01-01,0.0813,Low
M00049,2026-02-01,0.2684,Low
M00049,2026-03-01,0.01,Low
M00049,2026-04-01,0.3125,Low
M00049,2026-05-01,0.309,Low
M00049,2026-06-01,0.3279,Low
M00050,2026-01-01,0.2369,Low
M00050,2026-02-01,0.2488,Low
M00050,2026-03-01,0.1307,Low
M00050,2026-04-01,0.3955,Medium
M00050,2026-05-01,0.1954,Low
M00050,2026-06-01,0.3222,Low
M00051,2026-01-01,0.7287,High
M00051,2026-02-01,0.6966,High
M00051,2026-03-01,0.7428,High
M00051,2026-04-01,0.7456,High
M00051,2026-05-01,0.6937,High
M00051,2026-06-01,0.7402,High
M00052,2026-01-01,0.2912,Low
M00052,2026-02-01,0.1078,Low
M00052,2026-03-01,0.161,Low
M00052,2026-04-01,0.4296,Medium
M00052,2026-05-01,0.2562,Low
M00052,2026-06-01,0.3095,Low
M00053,2026-01-01,0.0861,Low
M00053,2026-02-01,0.2612,Low
M00053,2026-03-01,0.243,Low
M00053,2026-04-01,0.2328,Low
M00053,2026-05-01,0.3022,Low
M00053,2026-06-01,0.2478,Low
M00054,2026-01-01,0.5427,Medium
M00054,2026-02-01,0.5883,Medium
M00054,2026-03-01,0.5287,Medium
M00054,2026-04-01,0.5636,Medium
M00054,2026-05-01,0.4884,Medium
M00054,2026-06-01,0.5995,Medium
M00055,2026-01-01,0.1046,Low
M00055,2026-02-01,0.1272,Low
M00055,2026-03-01,0.2108,Low
M00055,2026-04-01,0.2091,Low
M00055,2026-05-01,0.2107,Low
M00055,2026-05-01,0.1942,Low
M00055,2026-06-01,0.189,Low
M00056,2026-01-01,0.4914,Medium
M00056,2026-02-01,0.5981,Medium
M00056,2026-03-01,0.4103,Medium
M00056,2026-04-01,0.4534,Medium
M00056,2026-05-01,0.541,Medium
M00056,2026-06-01,0.471,Medium
M00057,2026-01-01,0.1272,Low
M00057,2026-02-01,0.284,Low
M00057,2026-03-01,0.3087,Low
M00057,2026-04-01,0.3863,Medium
M00057,2026-05-01,0.3465,Low
M00057,2026-06-01,0.1916,Low
M00058,2026-01-01,0.571,Medium
M00058,2026-02-01,0.5928,Medium
M00058,2026-03-01,0.5117,Medium
M00058,2026-04-01,0.5481,Medium
M00058,2026-05-01,0.6255,Medium
M00058,2026-06-01,0.4697,Medium
M00059,2026-01-01,0.5529,Medium
M00059,2026-02-01,0.537,Medium
M00059,2026-03-01,0.5532,Medium
M00059,2026-04-01,0.5193,Medium
M00059,2026-05-01,0.4336,Medium
M00059,2026-06-01,0.572,Medium
M00060,2026-01-01,0.1216,Low
M00060,2026-02-01,0.3512,Medium
M00060,2026-03-01,0.0147,Low
M00060,2026-04-01,0.2536,Low
M00060,2026-05-01,0.1282,Low
M00060,2026-06-01,0.3007,Low
M00061,2026-01-01,0.1804,Low
M00061,2026-02-01,0.2919,Low
M00061,2026-03-01,0.2529,Low
M00061,2026-04-01,0.3394,Low
M00061,2026-05-01,0.3998,Medium
M00061,2026-06-01,0.2687,Low
M00062,2026-01-01,0.2616,Low
M00062,2026-02-01,0.331,Low
M00062,2026-03-01,0.1814,Low
M00062,2026-04-01,0.251,Low
M00062,2026-05-01,0.2642,Low
M00062,2026-06-01,0.2225,Low
M00063,2026-01-01,0.3268,Low
M00063,2026-02-01,0.2817,Low
M00063,2026-03-01,0.1808,Low
M00063,2026-04-01,0.3141,Low
M00063,2026-05-01,0.3284,Low
M00063,2026-06-01,0.0469,Low
M00064,2026-01-01,0.5905,Medium
M00064,2026-02-01,0.4773,Medium
M00064,2026-03-01,0.4878,Medium
M00064,2026-04-01,0.4973,Medium
M00064,2026-05-01,0.6084,Medium
M00064,2026-06-01,0.7296,High
M00065,2026-01-01,0.5046,Medium
M00065,2026-02-01,0.4614,Medium
M00065,2026-03-01,0.468,Medium
M00065,2026-04-01,0.5502,Medium
M00065,2026-05-01,0.5851,Medium
M00065,2026-06-01,0.6328,Medium
M00066,2026-01-01,0.61,Medium
M00066,2026-02-01,0.603,Medium
M00066,2026-03-01,0.5096,Medium
M00066,2026-04-01,0.5375,Medium
M00066,2026-05-01,0.4087,Medium
M00066,2026-06-01,0.374,Medium
M00067,2026-01-01,0.7538,High
M00067,2026-02-01,0.7301,High
M00067,2026-03-01,0.8947,High
M00067,2026-04-01,0.6184,Medium
M00067,2026-05-01,0.7081,High
M00067,2026-06-01,0.697,High
M00068,2026-01-01,0.678,High
M00068,2026-02-01,0.6617,Medium
M00068,2026-03-01,0.7194,High
M00068,2026-04-01,0.6784,High
M00068,2026-05-01,0.9578,High
M00068,2026-06-01,0.8181,High
M00069,2026-01-01,0.5828,Medium
M00069,2026-02-01,0.5276,Medium
M00069,2026-03-01,0.4873,Medium
M00069,2026-04-01,0.447,Medium
M00069,2026-05-01,0.3822,Medium
M00069,2026-06-01,0.5506,Medium
M00070,2026-01-01,0.8516,High
M00070,2026-02-01,0.7244,High
M00070,2026-03-01,0.8378,High
M00070,2026-04-01,0.8109,High
M00070,2026-05-01,0.8762,High
M00070,2026-06-01,0.7383,High
M00071,2026-01-01,0.2949,Low
M00071,2026-02-01,0.3926,Medium
M00071,2026-03-01,0.2282,Low
M00071,2026-04-01,0.1726,Low
M00071,2026-05-01,0.3361,Low
M00071,2026-06-01,0.2233,Low
M00072,2026-01-01,0.4859,Medium
M00072,2026-02-01,0.3957,Medium
M00072,2026-03-01,0.5,Medium
M00072,2026-04-01,0.3803,Medium
M00072,2026-05-01,0.436,Medium
M00072,2026-06-01,0.5647,Medium
M00073,2026-01-01,0.58,Medium
M00073,2026-02-01,0.5104,Medium
M00073,2026-03-01,0.5508,Medium
M00073,2026-04-01,0.5954,Medium
M00073,2026-05-01,0.4939,Medium
M00073,2026-06-01,0.5806,Medium
M00074,2026-01-01,0.3029,Low
M00074,2026-01-01,0.2694,Low
M00074,2026-02-01,0.1923,Low
M00074,2026-03-01,0.2669,Low
M00074,2026-04-01,0.2097,Low
M00074,2026-05-01,0.2778,Low
M00074,2026-06-01,0.2699,Low
M00075,2026-01-01,0.8293,High
M00075,2026-02-01,0.8485,High
M00075,2026-03-01,0.841,High
M00075,2026-04-01,0.7778,High
M00075,2026-05-01,0.7922,High
M00075,2026-06-01,0.8889,High
M00076,2026-01-01,0.2185,Low
M00076,2026-02-01,0.23,Low
M00076,2026-02-01,0.2164,Low
M00076,2026-03-01,0.2607,Low
M00076,2026-04-01,0.3186,Low
M00076,2026-05-01,0.1708,Low
M00076,2026-06-01,0.2132,Low
M00077,2026-01-01,0.2322,Low
M00077,2026-02-01,0.3311,Low
M00077,2026-03-01,0.1826,Low
M00077,2026-04-01,0.3204,Low
M00077,2026-05-01,0.1741,Low
M00077,2026-06-01,0.2524,Low
M00078,2026-01-01,0.0179,Low
M00078,2026-02-01,0.3994,Medium
M00078,2026-03-01,0.2385,Low
M00078,2026-04-01,0.1432,Low
M00078,2026-05-01,0.2967,Low
M00078,2026-06-01,0.1458,Low
M00079,2026-01-01,0.1843,Low
M00079,2026-02-01,0.4643,Medium
M00079,2026-03-01,0.2147,Low
M00079,2026-04-01,0.1212,Low
M00079,2026-05-01,0.3415,Low
M00079,2026-06-01,0.2529,Low
M00080,2026-01-01,0.2385,Low
M00080,2026-02-01,0.2646,Low
M00080,2026-03-01,0.246,Low
M00080,2026-04-01,0.2872,Low
M00080,2026-05-01,0.2802,Low
M00080,2026-06-01,0.1648,Low
M00081,2026-01-01,0.5253,Medium
M00081,2026-02-01,0.5507,Medium
M00081,2026-03-01,0.602,Medium
M00081,2026-04-01,0.4695,Medium
M00081,2026-05-01,0.5212,Medium
M00081,2026-06-01,0.5535,Medium
M00082,2026-01-01,0.7116,High
M00082,2026-02-01,0.4816,Medium
M00082,2026-03-01,0.4795,Medium
M00082,2026-04-01,0.7318,High
M00082,2026-05-01,0.5806,Medium
M00082,2026-06-01,0.6097,Medium
M00083,2026-01-01,0.5261,Medium
M00083,2026-02-01,0.3921,Medium
M00083,2026-03-01,0.6172,Medium
M00083,2026-04-01,0.5137,Medium
M00083,2026-05-01,0.6028,Medium
M00083,2026-06-01,0.571,Medium
M00084,2026-01-01,0.5172,Medium
M00084,2026-02-01,0.4014,Medium
M00084,2026-03-01,0.3192,Low
M00084,2026-04-01,0.5918,Medium
M00084,2026-05-01,0.6589,Medium
M00084,2026-06-01,0.4782,Medium
M00085,2026-01-01,0.1691,Low
M00085,2026-02-01,0.1442,Low
M00085,2026-03-01,0.1151,Low
M00085,2026-04-01,0.2495,Low
M00085,2026-05-01,0.2324,Low
M00085,2026-06-01,0.1682,Low
M00086,2026-01-01,0.237,Low
M00086,2026-02-01,0.1867,Low
M00086,2026-03-01,0.2217,Low
M00086,2026-04-01,0.2503,Low
M00086,2026-05-01,0.1728,Low
M00086,2026-06-01,0.2225,Low
M00087,2026-01-01,0.3998,Medium
M00087,2026-02-01,0.5151,Medium
M00087,2026-03-01,0.6543,Medium
M00087,2026-04-01,0.4119,Medium
M00087,2026-05-01,0.4656,Medium
M00087,2026-06-01,0.6456,Medium
M00088,2026-01-01,0.4948,Medium
M00088,2026-02-01,0.461,Medium
M00088,2026-03-01,0.4345,Medium
M00088,2026-04-01,0.6074,Medium
M00088,2026-05-01,0.5581,Medium
M00088,2026-06-01,0.4843,Medium
M00089,2026-01-01,0.4131,Medium
M00089,2026-02-01,0.5284,Medium
M00089,2026-03-01,0.3887,Medium
M00089,2026-04-01,0.6715,High
M00089,2026-05-01,0.6014,Medium
M00089,2026-06-01,0.5191,Medium
M00090,2026-01-01,0.2581,Low
M00090,2026-02-01,0.1991,Low
M00090,2026-03-01,0.1516,Low
M00090,2026-04-01,0.2325,Low
M00090,2026-05-01,0.1357,Low
M00090,2026-06-01,0.3145,Low
M00091,2026-01-01,0.2744,Low
M00091,2026-02-01,0.1428,Low
M00091,2026-03-01,0.2909,Low
M00091,2026-04-01,0.3357,Low
M00091,2026-05-01,0.1705,Low
M00091,2026-06-01,0.3112,Low
M00092,2026-01-01,0.756,High
M00092,2026-02-01,0.8195,High
M00092,2026-03-01,0.9619,High
M00092,2026-04-01,0.8223,High
M00092,2026-05-01,0.8071,High
M00092,2026-06-01,0.7478,High
M00093,2026-01-01,0.5906,Medium
M00093,2026-02-01,0.4792,Medium
M00093,2026-03-01,0.4182,Medium
M00093,2026-04-01,0.5897,Medium
M00093,2026-05-01,0.6311,Medium
M00093,2026-06-01,0.6762,High
M00094,2026-01-01,0.1506,Low
M00094,2026-02-01,0.3299,Low
M00094,2026-03-01,0.2984,Low
M00094,2026-04-01,0.1915,Low
M00094,2026-05-01,0.2125,Low
M00094,2026-06-01,0.1533,Low
M00095,2026-01-01,0.2106,Low
M00095,2026-02-01,0.149,Low
M00095,2026-03-01,0.0851,Low
M00095,2026-04-01,0.1776,Low
M00095,2026-05-01,0.4298,Medium
M00095,2026-06-01,0.2715,Low
M00096,2026-01-01,0.2638,Low
M00096,2026-02-01,0.2456,Low
M00096,2026-03-01,0.1313,Low
M00096,2026-04-01,0.2267,Low
M00096,2026-05-01,0.27,Low
M00096,2026-06-01,0.2447,Low
M00097,2026-01-01,0.2262,Low
M00097,2026-02-01,0.1553,Low
M00097,2026-03-01,0.3316,Low
M00097,2026-04-01,0.1314,Low
M00097,2026-05-01,0.3421,Low
M00097,2026-06-01,0.1394,Low
M00098,2026-01-01,0.2572,Low
M00098,2026-02-01,0.0929,Low
M00098,2026-03-01,0.3063,Low
M00098,2026-04-01,0.1997,Low
M00098,2026-05-01,0.258,Low
M00098,2026-06-01,0.1088,Low
M00099,2026-01-01,0.5983,Medium
M00099,2026-02-01,0.6197,Medium
M00099,2026-03-01,0.5851,Medium
M00099,2026-04-01,0.4683,Medium
M00099,2026-05-01,0.5908,Medium
M00099,2026-06-01,0.5431,Medium
M00100,2026-01-01,0.7487,High
M00100,2026-02-01,0.7255,High
M00100,2026-03-01,0.8445,High
M00100,2026-04-01,0.8125,High
M00100,2026-05-01,0.7705,High
M00100,2026-06-01,0.6841,High
M00101,2026-01-01,0.443,Medium
M00101,2026-02-01,0.6117,Medium
M00101,2026-03-01,0.508,Medium
M00101,2026-04-01,0.4167,Medium
M00101,2026-05-01,0.6597,Medium
M00101,2026-05-01,0.635,Medium
M00101,2026-06-01,0.6118,Medium
M00102,2026-01-01,0.5351,Medium
M00102,2026-02-01,0.5402,Medium
M00102,2026-03-01,0.5719,Medium
M00102,2026-04-01,0.4061,Medium
M00102,2026-05-01,0.638,Medium
M00102,2026-06-01,0.5003,Medium
M00103,2026-01-01,0.4928,Medium
M00103,2026-02-01,0.4722,Medium
M00103,2026-03-01,0.4804,Medium
M00103,2026-03-01,0.4799,Medium
M00103,2026-04-01,0.6649,Medium
M00103,2026-05-01,0.6131,Medium
M00103,2026-06-01,0.5326,Medium
M00104,2026-01-01,0.2256,Low
M00104,2026-02-01,0.1688,Low
M00104,2026-03-01,0.0907,Low
M00104,2026-04-01,0.2531,Low
M00104,2026-05-01,0.3002,Low
M00104,2026-06-01,0.3482,Low
M00105,2026-01-01,0.1336,Low
M00105,2026-02-01,0.266,Low
M00105,2026-03-01,0.3463,Low
M00105,2026-04-01,0.144,Low
M00105,2026-05-01,0.3461,Low
M00105,2026-06-01,0.3914,Medium
M00106,2026-01-01,0.148,Low
M00106,2026-02-01,0.2412,Low
M00106,2026-03-01,0.1309,Low
M00106,2026-04-01,0.2806,Low
M00106,2026-05-01,0.2497,Low
M00106,2026-06-01,0.401,Medium
M00107,2026-01-01,0.5327,Medium
M00107,2026-02-01,0.3756,Medium
M00107,2026-03-01,0.6802,High
M00107,2026-04-01,0.578,Medium
M00107,2026-05-01,0.4476,Medium
M00107,2026-06-01,0.568,Medium
M00108,2026-01-01,0.7119,High
M00108,2026-01-01,0.6998,High
M00108,2026-02-01,0.6734,High
M00108,2026-03-01,0.719,High
M00108,2026-04-01,0.7823,High
M00108,2026-05-01,0.8206,High
M00108,2026-06-01,0.8014,High
M00109,2026-01-01,0.1583,Low
M00109,2026-02-01,0.0678,Low
M00109,2026-03-01,0.2686,Low
M00109,2026-04-01,0.2384,Low
M00109,2026-05-01,0.3167,Low
M00109,2026-06-01,0.293,Low
M00110,2026-01-01,0.1557,Low
M00110,2026-02-01,0.1238,Low
M00110,2026-03-01,0.2668,Low
M00110,2026-04-01,0.3533,Medium
M00110,2026-05-01,0.1755,Low
M00110,2026-06-01,0.2592,Low
M00111,2026-01-01,0.154,Low
M00111,2026-02-01,0.2605,Low
M00111,2026-03-01,0.2468,Low
M00111,2026-04-01,0.2746,Low
M00111,2026-05-01,0.1045,Low
M00111,2026-06-01,0.4049,Medium
M00112,2026-01-01,0.7086,High
M00112,2026-02-01,0.4694,Medium
M00112,2026-03-01,0.3891,Medium
M00112,2026-04-01,0.6374,Medium
M00112,2026-05-01,0.5364,Medium
M00112,2026-06-01,0.6099,Medium
M00113,2026-01-01,0.1479,Low
M00113,2026-02-01,0.3111,Low
M00113,2026-03-01,0.2345,Low
M00113,2026-04-01,0.267,Low
M00113,2026-05-01,0.3619,Medium
M00113,2026-06-01,0.2524,Low
M00114,2026-01-01,0.8655,High
M00114,2026-02-01,0.786,High
M00114,2026-03-01,0.6561,Medium
M00114,2026-04-01,0.8796,High
M00114,2026-05-01,0.9105,High
M00114,2026-06-01,0.8747,High
M00115,2026-01-01,0.341,Low
M00115,2026-02-01,0.2622,Low
M00115,2026-03-01,0.2096,Low
M00115,2026-04-01,0.2861,Low
M00115,2026-05-01,0.2845,Low
M00115,2026-06-01,0.2677,Low
M00116,2026-01-01,0.6937,High
M00116,2026-02-01,0.7749,High
M00116,2026-03-01,0.8745,High
M00116,2026-04-01,0.7509,High
M00116,2026-05-01,0.6825,High
M00116,2026-06-01,0.9003,High
M00117,2026-01-01,0.2411,Low
M00117,2026-02-01,0.24,Low
M00117,2026-03-01,0.1891,Low
M00117,2026-04-01,0.0928,Low
M00117,2026-05-01,0.3379,Low
M00117,2026-06-01,0.386,Medium
M00118,2026-01-01,0.01,Low
M00118,2026-02-01,0.1132,Low
M00118,2026-03-01,0.1448,Low
M00118,2026-04-01,0.3246,Low
M00118,2026-05-01,0.2068,Low
M00118,2026-06-01,0.3155,Low
M00119,2026-01-01,0.3387,Low
M00119,2026-01-01,0.3313,Low
M00119,2026-02-01,0.1573,Low
M00119,2026-03-01,0.1398,Low
M00119,2026-04-01,0.261,Low
M00119,2026-05-01,0.2274,Low
M00119,2026-06-01,0.1602,Low
M00120,2026-01-01,0.4158,Medium
M00120,2026-02-01,0.4694,Medium
M00120,2026-03-01,0.4767,Medium
