settlement_id,transaction_id,settlement_amount,settlement_currency,fee_amount,settlement_status,settlement_date
SET00000166,T00000192,4938.49,INR,13.44,SETTLED,2026-02-25
SET00000167,T00000193,2083.18,INR,6.37,SETTLED,2026-05-11
SET00000168,T00000194,1840.39,INR,5.29,SETTLED,2026-05-04
SET00000169,T00000196,1567.85,INR,4.85,SETTLED,2026-06-30
SET00000170,T00000197,7.09,SGD,0.1,SETTLED,2026-06-14
SET00000171,T00000198,29.5,SGD,0.09,SETTLED,2026-01-11
SET00000172,T00000199,107.57,AED,0.24,PENDING,2026-04-06
SET00000173,T00000200,86.21,SGD,0.29,SETTLED,2026-03-26
SET00000174,T00000201,54.93,AED,0.2,SETTLED,2026-06-17
SET00000175,T00000202,1050.37,INR,2.19,SETTLED,2026-03-09
SET00000176,T00000203,125.08,SGD,0.36,SETTLED,2026-07-04
SET00000177,T00000204,0.0,SGD,0.06,SETTLED,2026-02-24
SET00000178,T00000205,3244.75,INR,4.25,SETTLED,2026-03-03
SET00000179,T00000206,2263.74,INR,4.83,SETTLED,2026-05-16
SET00000180,T00000207,136.8,AED,0.29,SETTLED,2026-02-13
SET00000181,T00000209,1320.95,INR,3.71,SETTLED,2026-02-05
SET00000182,T00000210,735.05,INR,2.05,PENDING,2026-07-03
SET00000183,T00000211,48.92,SGD,0.17,SETTLED,2026-06-19
SET00000184,T00000212,134.42,AED,0.44,SETTLED,2026-06-14
SET00000185,T00000213,29.02,SGD,0.13,SETTLED,2026-04-06
SET00000186,T00000214,329.6,AED,0.53,SETTLED,2026-04-25
SET00000187,T00000215,102.96,SGD,0.41,SETTLED,2026-04-16
SET00000188,T00000216,2513.96,INR,4.59,SETTLED,2026-07-03
SET00000189,T00000217,39.27,AED,0.19,SETTLED,2026-01-14
SET00000190,T00000218,784.64,INR,2.27,SETTLED,2026-04-03
SET00000191,T00000221,1534.65,INR,1.96,SETTLED,2026-04-04
SET00000192,T00000222,6.57,SGD,0.1,SETTLED,2026-05-12
SET00000193,T00000223,643.58,INR,1.46,SETTLED,2026-06-20
SET00000194,T00000224,2010.29,INR,4.13,SETTLED,2026-03-15
SET00000195,T00000225,29.77,AED,0.07,SETTLED,2026-06-29
SET00000196,T00000226,5800.16,INR,16.28,SETTLED,2026-03-11
SET00000197,T00000227,964.93,INR,2.78,SETTLED,2026-06-07
SET00000198,T00000228,1047.38,INR,1.62,SETTLED,2026-03-10
SET00000199,T00000229,274.56,AED,0.86,SETTLED,2026-01-23
SET00000200,T00000230,2901.67,INR,8.14,SETTLED,2026-06-10
SET00000201,T00000231,27.68,AED,0.13,SETTLED,2026-04-15
SET00000202,T00000232,77.04,AED,0.14,SETTLED,2026-04-02
SET00000203,T00000233,8.09,SGD,0.08,SETTLED,2026-04-08
SET00000204,T00000234,2686.79,INR,4.03,SETTLED,2026-05-12
SET00000205,T00000235,3259.75,INR,9.87,SETTLED,2026-03-10
SET00000206,T00000236,339.49,AED,0.48,SETTLED,2026-03-04
SET00000207,T00000237,9830.31,INR,23.01,EXCEPTION,2026-04-20
SET00000208,T00000238,294.5,INR,0.41,SETTLED,2026-01-15
SET00000209,T00000239,33.55,SGD,0.09,SETTLED,2026-05-17
SET00000210,T00000240,805.14,INR,2.59,SETTLED,2026-06-11
SET00000211,T00000241,20.27,AED,0.1,SETTLED,2026-05-25
SET00000212,T00000242,37.12,SGD,0.16,SETTLED,2026-04-15
SET00000213,T00000243,217.86,AED,0.39,SETTLED,2026-05-01
SET00000214,T00000244,7414.31,INR,12.4,SETTLED,2026-01-11
SET00000215,T00000245,217.15,AED,0.46,SETTLED,2026-06-23
SET00000216,T00000247,2632.58,INR,3.37,SETTLED,2026-03-20
SET00000217,T00000248,776.24,INR,1.64,EXCEPTION,2026-03-14
SET00000218,T00000249,53.68,AED,0.15,SETTLED,2026-05-15
SET00000219,T00000251,62.6,SGD,0.19,SETTLED,2026-02-23
SET00000220,T00000252,86.33,SGD,0.28,SETTLED,2026-04-05
SET00000221,T00000253,49.91,SGD,0.16,PENDING,2026-05-22
SET00000222,T00000254,906.13,INR,0.94,SETTLED,2026-03-14
SET00000223,T00000255,59.67,SGD,0.11,SETTLED,2026-04-22
SET00000224,T00000256,4166.61,INR,11.23,SETTLED,2026-03-08
SET00000225,T00000257,31.57,SGD,0.16,SETTLED,2026-01-23
SET00000226,T00000258,343.11,INR,0.8,SETTLED,2026-04-02
SET00000227,T00000258,343.11,INR,0.64,SETTLED,2026-03-31
SET00000228,T00000259,38.01,SGD,0.17,SETTLED,2026-05-26
SET00000229,T00000260,12.86,AED,0.07,SETTLED,2026-02-27
SET00000230,T00000261,4816.35,INR,6.15,PENDING,2026-06-01
SET00000231,T00000262,0.0,INR,0.06,SETTLED,2026-05-21
SET00000232,T00000263,567.2,INR,0.74,SETTLED,2026-04-22
SET00000233,T00000264,2042.13,INR,2.56,SETTLED,2026-07-02
SET00000234,T00000265,100.24,AED,0.39,SETTLED,2026-06-18
SET00000235,T00000266,97.0,AED,0.17,EXCEPTION,2026-05-03
SET00000236,T00000267,61.81,AED,0.13,SETTLED,2026-05-02
SET00000237,T00000269,-6.24,SGD,0.05,SETTLED,2026-06-25
SET00000238,T00000271,1791.19,INR,5.55,PENDING,2026-05-27
SET00000239,T00000271,1791.19,INR,3.41,PENDING,2026-05-30
SET00000240,T00000272,2148.44,INR,6.06,SETTLED,2026-02-05
SET00000241,T00000274,16.59,SGD,0.06,SETTLED,2026-03-08
SET00000242,T00000275,4915.93,INR,8.59,SETTLED,2026-02-20
SET00000243,T00000276,847.85,INR,1.84,SETTLED,2026-06-03
SET00000244,T00000278,5840.58,INR,7.53,SETTLED,2026-02-05
SET00000245,T00000279,15.44,SGD,0.14,SETTLED,2026-02-18
SET00000246,T00000280,4096.87,INR,8.2,SETTLED,2026-03-02
SET00000247,T00000281,629.77,INR,0.94,SETTLED,2026-06-27
SET00000248,T00000282,6907.25,INR,11.43,EXCEPTION,2026-05-25
SET00000249,T00000283,727.35,INR,1.51,SETTLED,2026-05-20
SET00000250,T00000284,3674.95,INR,4.48,SETTLED,2026-04-25
SET00000251,T00000285,65.52,SGD,0.16,SETTLED,2026-04-27
SET00000252,T00000287,3076.1,INR,4.47,SETTLED,2026-02-14
SET00000253,T00000288,620.26,INR,1.58,SETTLED,2026-06-03
SET00000254,T00000289,97.7,AED,0.19,SETTLED,2026-04-19
SET00000255,T00000290,9902.71,INR,30.1,SETTLED,2026-03-09
SET00000256,T00000291,64.83,SGD,0.12,SETTLED,2026-05-15
SET00000257,T00000292,910.57,INR,2.74,SETTLED,2026-02-24
SET00000258,T00000293,50.93,SGD,0.25,EXCEPTION,2026-04-22
SET00000259,T00000293,50.93,SGD,0.11,SETTLED,2026-04-20
SET00000260,T00000294,1593.79,INR,5.03,SETTLED,2026-02-21
SET00000261,T00000296,1137.75,INR,1.33,SETTLED,2026-03-20
SET00000262,T00000298,34.82,SGD,0.13,SETTLED,2026-06-02
SET00000263,T00000299,212.26,AED,0.42,SETTLED,2026-05-17
SET00000264,T00000300,19.85,SGD,0.16,SETTLED,2026-04-06
SET00000265,T00000301,138.34,AED,0.3,SETTLED,2026-01-25
SET00000266,T00000302,200.99,AED,0.49,SETTLED,2026-06-22
SET00000267,T00000303,92.71,SGD,0.21,SETTLED,2026-01-06
SET00000268,T00000305,28.69,AED,0.14,SETTLED,2026-06-28
SET00000269,T00000306,96.69,AED,0.19,SETTLED,2026-03-19
SET00000270,T00000308,34.35,SGD,0.12,SETTLED,2026-03-04
SET00000271,T00000309,2769.46,INR,6.69,SETTLED,2026-03-18
SET00000272,T00000310,27.33,SGD,0.18,SETTLED,2026-04-13
SET00000273,T00000311,58.3,SGD,0.15,SETTLED,2026-04-28
SET00000274,T00000312,1027.42,INR,1.28,SETTLED,2026-05-28
SET00000275,T00000313,3522.46,INR,6.46,SETTLED,2026-06-23
SET00000276,T00000315,23.84,SGD,0.13,SETTLED,2026-05-29
SET00000277,T00000315,23.84,SGD,0.05,SETTLED,2026-05-29
SET00000278,T00000317,3207.72,INR,9.18,SETTLED,2026-03-24
SET00000279,T00000318,26.86,SGD,0.14,SETTLED,2026-02-06
SET00000280,T00000320,17.49,SGD,0.16,SETTLED,2026-06-23
SET00000281,T00000321,1542.11,INR,1.87,SETTLED,2026-06-19
SET00000282,T00000322,16.37,SGD,0.08,SETTLED,2026-03-21
SET00000283,T00000323,1968.22,INR,2.47,SETTLED,2026-03-02
SET00000284,T00000325,2513.81,INR,2.89,SETTLED,2026-03-13
SET00000285,T00000326,6398.63,INR,10.35,SETTLED,2026-01-26
SET00000286,T00000328,407.9,AED,0.63,SETTLED,2026-02-25
SET00000287,T00000329,4301.06,INR,8.09,SETTLED,2026-01-06
SET00000288,T00000331,26.81,SGD,0.15,PENDING,2026-05-25
SET00000289,T00000332,25.75,SGD,0.1,SETTLED,2026-05-12
SET00000290,T00000333,1924.44,INR,2.57,SETTLED,2026-06-25
SET00000291,T00000334,1376.57,INR,2.65,SETTLED,2026-04-06
SET00000292,T00000335,5400.79,INR,10.83,SETTLED,2026-04-10
SET00000293,T00000336,1197.75,INR,3.04,SETTLED,2026-01-23
SET00000294,T00000337,2168.24,INR,6.0,SETTLED,2026-02-14
SET00000295,T00000338,9.58,SGD,0.09,SETTLED,2026-05-23
SET00000296,T00000339,1266.28,INR,2.27,SETTLED,2026-03-04
SET00000297,T00000340,31.7,AED,0.2,SETTLED,2026-06-04
SET00000298,T00000341,7584.06,INR,7.88,SETTLED,2026-05-24
SET00000299,T00000342,501.35,INR,0.69,SETTLED,2026-05-31
SET00000300,T00000343,29.16,AED,0.14,SETTLED,2026-05-22
SET00000301,T00000344,22.17,SGD,0.13,SETTLED,2026-05-23
SET00000302,T00000346,1024.14,INR,2.35,SETTLED,2026-05-20
SET00000303,T00000347,94.6,AED,0.22,SETTLED,2026-04-28
SET00000304,T00000348,317.19,AED,0.58,SETTLED,2026-02-24
SET00000305,T00000349,2036.23,INR,6.03,SETTLED,2026-03-02
SET00000306,T00000349,2036.23,INR,3.09,SETTLED,2026-03-01
SET00000307,T00000350,3074.74,INR,7.89,SETTLED,2026-04-03
SET00000308,T00000351,869.07,INR,2.82,SETTLED,2026-01-09
SET00000309,T00000352,127.99,AED,0.45,SETTLED,2026-06-20
SET00000310,T00000353,825.25,INR,2.34,SETTLED,2026-03-08
SET00000311,T00000354,97.27,SGD,0.32,SETTLED,2026-01-18
SET00000312,T00000355,1879.14,INR,1.95,SETTLED,2026-04-10
SET00000313,T00000356,7.56,SGD,0.08,SETTLED,2026-06-10
SET00000314,T00000357,16.95,SGD,0.1,SETTLED,2026-04-03
SET00000315,T00000358,3880.79,INR,11.96,SETTLED,2026-03-07
SET00000316,T00000360,42.67,SGD,0.15,SETTLED,2026-05-03
SET00000317,T00000361,2025.13,INR,4.72,SETTLED,2026-06-03
SET00000318,T00000362,1418.32,INR,1.53,SETTLED,2026-06-09
SET00000319,T00000363,739.95,INR,1.1,SETTLED,2026-05-26
SET00000320,T00000364,2339.9,INR,4.23,SETTLED,2026-01-04
SET00000321,T00000365,163.62,AED,0.39,SETTLED,2026-01-03
SET00000322,T00000366,1108.55,INR,1.5,SETTLED,2026-07-03
SET00000323,T00000367,4462.93,INR,11.83,SETTLED,2026-03-08
SET00000324,T00000368,19.97,AED,0.16,SETTLED,2026-03-12
SET00000325,T00000369,3373.06,INR,10.25,SETTLED,2026-05-29
SET00000326,T00000370,646.55,INR,1.51,SETTLED,2026-05-04
SET00000327,T00000371,3927.7,INR,10.86,SETTLED,2026-04-15
SET00000328,T00000372,1373.47,INR,4.1,SETTLED,2026-02-03
SET00000329,T00000373,1740.47,INR,4.65,SETTLED,2026-01-28
SET00000330,T00000374,536.89,INR,1.23,SETTLED,2026-05-25
SET00000331,T00000375,29.35,SGD,0.16,SETTLED,2026-02-04
SET00000332,T00000376,3376.54,INR,6.54,SETTLED,2026-04-13
SET00000333,T00000377,50.59,AED,0.24,SETTLED,2026-05-31
SET00000334,T00000378,48.99,AED,0.2,SETTLED,2026-06-23
SET00000335,T00000379,1795.34,INR,2.28,SETTLED,2026-06-15
SET00000336,T00000380,129.29,AED,0.24,SETTLED,2026-06-16
SET00000337,T00000381,2148.55,INR,4.85,SETTLED,2026-03-29
SET00000338,T00000382,2579.95,INR,5.97,SETTLED,2026-06-24
SET00000339,T00000383,1068.71,INR,2.45,SETTLED,2026-05-19
SET00000340,T00000384,17.23,SGD,0.11,SETTLED,2026-06-20
SET00000341,T00000385,1536.61,INR,1.62,SETTLED,2026-01-26
SET00000342,T00000386,24229.86,INR,69.65,SETTLED,2026-01-16
SET00000343,T00000388,47.87,SGD,0.17,SETTLED,2026-06-09
SET00000344,T00000389,2447.91,INR,5.17,SETTLED,2026-04-06
SET00000345,T00000390,46.77,AED,0.16,SETTLED,2026-06-18
SET00000346,T00000391,2435.4,INR,2.63,SETTLED,2026-03-02
SET00000347,T00000392,1394.39,INR,4.34,SETTLED,2026-01-17
SET00000348,T00000393,1520.19,INR,4.28,SETTLED,2026-06-01
SET00000349,T00000395,3067.0,INR,4.05,SETTLED,2026-04-14
SET00000350,T00000397,15.75,SGD,0.05,SETTLED,2026-06-08
SET00000351,T00000398,386.51,AED,0.52,SETTLED,2026-03-20
SET00000352,T00000399,2581.0,INR,5.54,SETTLED,2026-06-10
SET00000353,T00000400,57.49,AED,0.21,SETTLED,2026-03-24
SET00000354,T00000401,49.74,SGD,0.11,SETTLED,2026-05-09
SET00000355,T00000402,15770.2,INR,41.65,SETTLED,2026-02-24
SET00000356,T00000403,19.44,SGD,0.17,SETTLED,2026-03-08
SET00000357,T00000404,92.76,AED,0.34,PENDING,2026-04-12
SET00000358,T00000405,41.31,SGD,0.1,SETTLED,2026-03-20
SET00000359,T00000406,2635.03,INR,4.25,SETTLED,2026-02-05
SET00000360,T00000407,6090.12,INR,8.95,EXCEPTION,2026-04-17
SET00000361,T00000408,70.41,SGD,0.14,SETTLED,2026-04-23
SET00000362,T00000409,1846.75,INR,3.23,SETTLED,2026-02-14
SET00000363,T00000410,66.03,AED,0.2,SETTLED,2026-02-18
SET00000364,T00000411,877.45,INR,2.81,SETTLED,2026-01-13
SET00000365,T00000412,92.8,AED,0.29,SETTLED,2026-01-11
SET00000366,T00000413,10.73,SGD,0.08,SETTLED,2026-03-29
SET00000367,T00000414,14267.08,INR,19.58,SETTLED,2026-02-10
SET00000368,T00000415,1351.2,INR,2.45,SETTLED,2026-06-23
SET00000369,T00000416,6607.96,INR,10.93,SETTLED,2026-02-24
SET00000370,T00000417,80.35,SGD,0.2,SETTLED,2026-01-23
SET00000371,T00000419,903.08,INR,2.05,SETTLED,2026-02-23
SET00000372,T00000420,2107.25,INR,2.55,SETTLED,2026-01-20
SET00000373,T00000422,1325.5,INR,4.13,SETTLED,2026-04-29
SET00000374,T00000423,-807.51,INR,2.22,SETTLED,2026-01-21
SET00000375,T00000423,-807.51,INR,1.67,SETTLED,2026-01-20
SET00000376,T00000424,574.09,INR,1.8,SETTLED,2026-04-18
SET00000377,T00000425,20.55,SGD,0.11,SETTLED,2026-01-14
SET00000378,T00000426,75.03,AED,0.21,SETTLED,2026-03-29
SET00000379,T00000427,41.84,SGD,0.17,SETTLED,2026-03-28
SET00000380,T00000429,17438.04,INR,39.99,SETTLED,2026-05-26
SET00000381,T00000431,39.25,SGD,0.21,SETTLED,2026-02-10
SET00000382,T00000433,1992.92,INR,6.04,SETTLED,2026-01-12
SET00000383,T00000434,1833.97,INR,3.35,SETTLED,2026-06-12
SET00000384,T00000435,1607.96,INR,2.34,SETTLED,2026-03-29
SET00000385,T00000436,4697.72,INR,12.58,SETTLED,2026-01-25
SET00000386,T00000437,3535.28,INR,7.46,SETTLED,2026-03-22
SET00000387,T00000438,309.91,AED,0.61,SETTLED,2026-03-12
SET00000388,T00000439,28.27,SGD,0.07,SETTLED,2026-06-04
SET00000389,T00000441,4516.25,INR,13.52,SETTLED,2026-04-30
