rate_date,currency,rate_to_usd,rate_type
2026-01-21,AED,0.272833,ACCOUNTING
2026-01-22,INR,0.012022,SPOT
2026-01-22,INR,0.012074,ACCOUNTING
2026-01-22,SGD,0.745514,SPOT
2026-01-22,SGD,0.746502,ACCOUNTING
2026-01-22,AED,0.271535,SPOT
2026-01-22,AED,0.272849,ACCOUNTING
2026-01-23,INR,0.011966,SPOT
2026-01-23,INR,0.012075,ACCOUNTING
2026-01-23,SGD,0.750029,SPOT
2026-01-23,SGD,0.746542,ACCOUNTING
2026-01-23,AED,0.275085,SPOT
2026-01-23,AED,0.272864,ACCOUNTING
2026-01-24,INR,0.012053,SPOT
2026-01-24,INR,0.012076,ACCOUNTING
2026-01-24,SGD,0.743087,SPOT
2026-01-24,SGD,0.746579,ACCOUNTING
2026-01-24,AED,0.274219,SPOT
2026-01-24,AED,0.272877,ACCOUNTING
2026-01-25,INR,0.012143,SPOT
2026-01-25,INR,0.012076,ACCOUNTING
2026-01-25,SGD,0.741625,SPOT
2026-01-25,SGD,0.746613,ACCOUNTING
2026-01-25,AED,0.272711,SPOT
2026-01-25,AED,0.272889,ACCOUNTING
2026-01-26,INR,0.012201,SPOT
2026-01-26,INR,0.012077,ACCOUNTING
2026-01-26,SGD,0.753659,SPOT
2026-01-26,SGD,0.746643,ACCOUNTING
2026-01-26,AED,0.270979,SPOT
2026-01-26,AED,0.2729,ACCOUNTING
2026-01-27,INR,0.011958,SPOT
2026-01-27,INR,0.012077,ACCOUNTING
2026-01-27,SGD,0.747107,SPOT
2026-01-27,SGD,0.746669,ACCOUNTING
2026-01-27,AED,0.273662,SPOT
2026-01-27,AED,0.27291,ACCOUNTING
2026-01-28,INR,0.012111,SPOT
2026-01-28,INR,0.012077,ACCOUNTING
2026-01-28,SGD,0.747996,SPOT
2026-01-28,SGD,0.746692,ACCOUNTING
2026-01-28,AED,0.272968,SPOT
2026-01-28,AED,0.272918,ACCOUNTING
2026-01-29,INR,0.012029,SPOT
2026-01-29,INR,0.012078,ACCOUNTING
2026-01-29,SGD,0.742749,SPOT
2026-01-29,SGD,0.746711,ACCOUNTING
2026-01-29,AED,0.273825,SPOT
2026-01-29,AED,0.272925,ACCOUNTING
2026-01-30,INR,0.012009,SPOT
2026-01-30,INR,0.012078,ACCOUNTING
2026-01-30,SGD,0.738147,SPOT
2026-01-30,SGD,0.746726,ACCOUNTING
2026-01-30,AED,0.272754,SPOT
2026-01-30,AED,0.272931,ACCOUNTING
2026-01-31,INR,0.012081,SPOT
2026-01-31,INR,0.012078,ACCOUNTING
2026-01-31,SGD,0.75422,SPOT
2026-01-31,SGD,0.746738,ACCOUNTING
2026-01-31,AED,0.272582,SPOT
2026-01-31,AED,0.272935,ACCOUNTING
2026-02-01,INR,0.011964,SPOT
2026-02-01,INR,0.012078,ACCOUNTING
2026-02-01,SGD,0.751092,SPOT
2026-02-01,SGD,0.746746,ACCOUNTING
2026-02-01,AED,0.272454,SPOT
2026-02-01,AED,0.272938,ACCOUNTING
2026-02-02,INR,0.012049,SPOT
2026-02-02,INR,0.012078,ACCOUNTING
2026-02-02,SGD,0.740462,SPOT
2026-02-02,SGD,0.74675,ACCOUNTING
2026-02-02,AED,0.273375,SPOT
2026-02-02,AED,0.27294,ACCOUNTING
2026-02-03,INR,0.012072,SPOT
2026-02-03,INR,0.012078,ACCOUNTING
2026-02-03,SGD,0.746038,SPOT
2026-02-03,SGD,0.746751,ACCOUNTING
2026-02-03,AED,0.274082,SPOT
2026-02-03,AED,0.27294,ACCOUNTING
2026-02-04,INR,0.012138,SPOT
2026-02-04,INR,0.012078,ACCOUNTING
2026-02-04,SGD,0.747137,SPOT
2026-02-04,SGD,0.746748,ACCOUNTING
2026-02-04,AED,0.273437,SPOT
2026-02-04,AED,0.272939,ACCOUNTING
2026-02-05,INR,0.012087,SPOT
2026-02-05,INR,0.012078,ACCOUNTING
2026-02-05,SGD,0.753198,SPOT
2026-02-05,SGD,0.746741,ACCOUNTING
2026-02-05,AED,0.271083,SPOT
2026-02-05,AED,0.272936,ACCOUNTING
2026-02-06,INR,0.011984,SPOT
2026-02-06,INR,0.012078,ACCOUNTING
2026-02-06,SGD,0.740433,SPOT
2026-02-06,SGD,0.74673,ACCOUNTING
2026-02-06,AED,0.273417,SPOT
2026-02-06,AED,0.272932,ACCOUNTING
2026-02-07,INR,0.012054,SPOT
2026-02-07,INR,0.012078,ACCOUNTING
2026-02-07,SGD,0.740821,SPOT
2026-02-07,SGD,0.746716,ACCOUNTING
2026-02-07,AED,0.272264,SPOT
2026-02-07,AED,0.272927,ACCOUNTING
2026-02-08,INR,0.012219,SPOT
2026-02-08,INR,0.012077,ACCOUNTING
2026-02-08,SGD,0.747697,SPOT
2026-02-08,SGD,0.746699,ACCOUNTING
2026-02-08,AED,0.274997,SPOT
2026-02-08,AED,0.272921,ACCOUNTING
2026-02-09,INR,0.011969,SPOT
2026-02-09,INR,0.012077,ACCOUNTING
2026-02-09,SGD,0.747112,SPOT
2026-02-09,SGD,0.746678,ACCOUNTING
2026-02-09,AED,0.273433,SPOT
2026-02-09,AED,0.272913,ACCOUNTING
2026-02-10,INR,0.012113,SPOT
2026-02-10,INR,0.012077,ACCOUNTING
2026-02-10,SGD,0.744697,SPOT
2026-02-10,SGD,0.746653,ACCOUNTING
2026-02-10,AED,0.274215,SPOT
2026-02-10,AED,0.272904,ACCOUNTING
2026-02-11,INR,0.012099,SPOT
2026-02-11,INR,0.012076,ACCOUNTING
2026-02-11,SGD,0.746242,SPOT
2026-02-11,SGD,0.746626,ACCOUNTING
2026-02-11,AED,0.27191,SPOT
2026-02-11,AED,0.272894,ACCOUNTING
2026-02-12,INR,0.011957,SPOT
2026-02-12,INR,0.012076,ACCOUNTING
2026-02-12,SGD,0.737302,SPOT
2026-02-12,SGD,0.746595,ACCOUNTING
2026-02-12,AED,0.271518,SPOT
2026-02-12,AED,0.272883,ACCOUNTING
2026-02-13,INR,0.012053,SPOT
2026-02-13,INR,0.012075,ACCOUNTING
2026-02-13,SGD,0.742869,SPOT
2026-02-13,SGD,0.746561,ACCOUNTING
2026-02-13,AED,0.273188,SPOT
2026-02-13,AED,0.27287,ACCOUNTING
2026-02-14,INR,0.012124,SPOT
2026-02-14,INR,0.012075,ACCOUNTING
2026-02-14,SGD,0.74032,SPOT
2026-02-14,SGD,0.746524,ACCOUNTING
2026-02-14,AED,0.27353,SPOT
2026-02-14,AED,0.272857,ACCOUNTING
2026-02-15,INR,0.012063,SPOT
2026-02-15,INR,0.012074,ACCOUNTING
2026-02-15,SGD,0.738228,SPOT
2026-02-15,SGD,0.746484,ACCOUNTING
2026-02-15,AED,0.274125,SPOT
2026-02-15,AED,0.272842,ACCOUNTING
2026-02-16,INR,0.011998,SPOT
2026-02-16,INR,0.012073,ACCOUNTING
2026-02-16,SGD,0.757441,SPOT
2026-02-16,SGD,0.746441,ACCOUNTING
2026-02-16,AED,0.274556,SPOT
2026-02-16,AED,0.272827,ACCOUNTING
2026-02-17,INR,0.012055,SPOT
2026-02-17,INR,0.012073,ACCOUNTING
2026-02-17,SGD,0.745965,SPOT
2026-02-17,SGD,0.746395,ACCOUNTING
2026-02-17,AED,0.270382,SPOT
2026-02-17,AED,0.27281,ACCOUNTING
2026-02-18,INR,0.012193,SPOT
2026-02-18,INR,0.012072,ACCOUNTING
2026-02-18,SGD,0.742197,SPOT
2026-02-18,SGD,0.746348,ACCOUNTING
2026-02-18,AED,0.272732,SPOT
2026-02-18,AED,0.272793,ACCOUNTING
2026-02-19,INR,0.01202,SPOT
2026-02-19,INR,0.012071,ACCOUNTING
2026-02-19,SGD,0.748075,SPOT
2026-02-19,SGD,0.746297,ACCOUNTING
2026-02-19,AED,0.272636,SPOT
2026-02-19,AED,0.272774,ACCOUNTING
2026-02-20,INR,0.012021,SPOT
2026-02-20,INR,0.01207,ACCOUNTING
2026-02-20,SGD,0.74811,SPOT
2026-02-20,SGD,0.746245,ACCOUNTING
2026-02-20,AED,0.275135,SPOT
2026-02-20,AED,0.272755,ACCOUNTING
2026-02-21,INR,0.012071,SPOT
2026-02-21,INR,0.012069,ACCOUNTING
2026-02-21,SGD,0.736262,SPOT
2026-02-21,SGD,0.74619,ACCOUNTING
2026-02-21,AED,0.273299,SPOT
2026-02-21,AED,0.272735,ACCOUNTING
2026-02-22,INR,0.011961,SPOT
2026-02-22,INR,0.012068,ACCOUNTING
2026-02-22,SGD,0.739955,SPOT
2026-02-22,SGD,0.746134,ACCOUNTING
2026-02-22,AED,0.270286,SPOT
2026-02-22,AED,0.272714,ACCOUNTING
2026-02-23,INR,0.012119,SPOT
2026-02-23,INR,0.012067,ACCOUNTING
2026-02-23,SGD,0.739605,SPOT
2026-02-23,SGD,0.746076,ACCOUNTING
2026-02-23,AED,0.274314,SPOT
2026-02-23,AED,0.272693,ACCOUNTING
2026-02-24,INR,0.012127,SPOT
2026-02-24,INR,0.012066,ACCOUNTING
2026-02-24,SGD,0.74226,SPOT
2026-02-24,SGD,0.746016,ACCOUNTING
2026-02-24,AED,0.273491,SPOT
2026-02-24,AED,0.272671,ACCOUNTING
2026-02-25,INR,0.012154,SPOT
2026-02-25,INR,0.012065,ACCOUNTING
2026-02-25,SGD,0.743535,SPOT
2026-02-25,SGD,0.745954,ACCOUNTING
2026-02-25,AED,0.274729,SPOT
2026-02-25,AED,0.272649,ACCOUNTING
2026-02-26,INR,0.012081,SPOT
2026-02-26,INR,0.012064,ACCOUNTING
2026-02-26,SGD,0.743078,SPOT
2026-02-26,SGD,0.745892,ACCOUNTING
2026-02-26,AED,0.274073,SPOT
2026-02-26,AED,0.272626,ACCOUNTING
2026-02-27,INR,0.012017,SPOT
2026-02-27,INR,0.012063,ACCOUNTING
2026-02-27,SGD,0.752375,SPOT
2026-02-27,SGD,0.745828,ACCOUNTING
2026-02-27,AED,0.270849,SPOT
2026-02-27,AED,0.272603,ACCOUNTING
2026-02-28,INR,0.012164,SPOT
2026-02-28,INR,0.012062,ACCOUNTING
2026-02-28,SGD,0.747175,SPOT
2026-02-28,SGD,0.745764,ACCOUNTING
2026-02-28,AED,0.273902,SPOT
2026-02-28,AED,0.272579,ACCOUNTING
2026-03-01,INR,0.012041,SPOT
2026-03-01,INR,0.012061,ACCOUNTING
2026-03-01,SGD,0.747972,SPOT
2026-03-01,SGD,0.745699,ACCOUNTING
2026-03-01,AED,0.268613,SPOT
2026-03-01,AED,0.272555,ACCOUNTING
2026-03-02,INR,0.012086,SPOT
2026-03-02,INR,0.01206,ACCOUNTING
2026-03-02,SGD,0.740371,SPOT
2026-03-02,SGD,0.745633,ACCOUNTING
2026-03-02,AED,0.273976,SPOT
2026-03-02,AED,0.272531,ACCOUNTING
2026-03-03,INR,0.012032,SPOT
2026-03-03,INR,0.012059,ACCOUNTING
2026-03-03,SGD,0.74383,SPOT
2026-03-03,SGD,0.745567,ACCOUNTING
2026-03-03,AED,0.27086,SPOT
2026-03-03,AED,0.272507,ACCOUNTING
2026-03-04,INR,0.012084,SPOT
2026-03-04,INR,0.012058,ACCOUNTING
2026-03-04,SGD,0.742497,SPOT
2026-03-04,SGD,0.745501,ACCOUNTING
2026-03-04,AED,0.272683,SPOT
2026-03-04,AED,0.272483,ACCOUNTING
2026-03-05,INR,0.012047,SPOT
2026-03-05,INR,0.012057,ACCOUNTING
2026-03-05,SGD,0.741724,SPOT
2026-03-05,SGD,0.745435,ACCOUNTING
2026-03-05,AED,0.272142,SPOT
2026-03-05,AED,0.272459,ACCOUNTING
2026-03-06,INR,0.012029,SPOT
2026-03-06,INR,0.012056,ACCOUNTING
2026-03-06,SGD,0.750662,SPOT
2026-03-06,SGD,0.745369,ACCOUNTING
2026-03-06,AED,0.274641,SPOT
2026-03-06,AED,0.272435,ACCOUNTING
2026-03-07,INR,0.011976,SPOT
2026-03-07,INR,0.012055,ACCOUNTING
2026-03-07,SGD,0.74721,SPOT
2026-03-07,SGD,0.745303,ACCOUNTING
2026-03-07,AED,0.272334,SPOT
2026-03-07,AED,0.272411,ACCOUNTING
2026-03-08,INR,0.012009,SPOT
2026-03-08,INR,0.012054,ACCOUNTING
2026-03-08,SGD,0.747017,SPOT
2026-03-08,SGD,0.745238,ACCOUNTING
2026-03-08,AED,0.273566,SPOT
2026-03-08,AED,0.272387,ACCOUNTING
2026-03-09,INR,0.01188,SPOT
2026-03-09,INR,0.012053,ACCOUNTING
2026-03-09,SGD,0.750878,SPOT
2026-03-09,SGD,0.745174,ACCOUNTING
2026-03-09,AED,0.273968,SPOT
2026-03-09,AED,0.272364,ACCOUNTING
2026-03-10,INR,0.012071,SPOT
2026-03-10,INR,0.012052,ACCOUNTING
2026-03-10,SGD,0.742483,SPOT
2026-03-10,SGD,0.745111,ACCOUNTING
2026-03-10,AED,0.273614,SPOT
2026-03-10,AED,0.27234,ACCOUNTING
2026-03-11,INR,0.012026,SPOT
2026-03-11,INR,0.012051,ACCOUNTING
2026-03-11,SGD,0.752105,SPOT
2026-03-11,SGD,0.745048,ACCOUNTING
2026-03-11,AED,0.274289,SPOT
2026-03-11,AED,0.272318,ACCOUNTING
2026-03-12,INR,0.012075,SPOT
2026-03-12,INR,0.01205,ACCOUNTING
2026-03-12,SGD,0.742849,SPOT
2026-03-12,SGD,0.744988,ACCOUNTING
2026-03-12,AED,0.27364,SPOT
2026-03-12,AED,0.272296,ACCOUNTING
2026-03-13,INR,0.012131,SPOT
2026-03-13,INR,0.012049,ACCOUNTING
2026-03-13,SGD,0.744975,SPOT
2026-03-13,SGD,0.744928,ACCOUNTING
2026-03-13,AED,0.273509,SPOT
2026-03-13,AED,0.272274,ACCOUNTING
2026-03-14,INR,0.012039,SPOT
2026-03-14,INR,0.012048,ACCOUNTING
2026-03-14,SGD,0.738703,SPOT
2026-03-14,SGD,0.744871,ACCOUNTING
2026-03-14,AED,0.270128,SPOT
2026-03-14,AED,0.272253,ACCOUNTING
2026-03-15,INR,0.012086,SPOT
2026-03-15,INR,0.012047,ACCOUNTING
2026-03-15,SGD,0.75332,SPOT
2026-03-15,SGD,0.744815,ACCOUNTING
2026-03-15,AED,0.271272,SPOT
2026-03-15,AED,0.272232,ACCOUNTING
2026-03-16,INR,0.012017,SPOT
2026-03-16,INR,0.012046,ACCOUNTING
2026-03-16,SGD,0.747874,SPOT
2026-03-16,SGD,0.744761,ACCOUNTING
2026-03-16,AED,0.27292,SPOT
2026-03-16,AED,0.272213,ACCOUNTING
2026-03-17,INR,0.012096,SPOT
2026-03-17,INR,0.012045,ACCOUNTING
2026-03-17,SGD,0.748867,SPOT
2026-03-17,SGD,0.744709,ACCOUNTING
2026-03-17,AED,0.272838,SPOT
2026-03-17,AED,0.272194,ACCOUNTING
2026-03-18,INR,0.012085,SPOT
2026-03-18,INR,0.012044,ACCOUNTING
2026-03-18,SGD,0.741536,SPOT
2026-03-18,SGD,0.74466,ACCOUNTING
2026-03-18,AED,0.272192,SPOT
2026-03-18,AED,0.272176,ACCOUNTING
2026-03-19,INR,0.012167,SPOT
2026-03-19,INR,0.012044,ACCOUNTING
2026-03-19,SGD,0.7487,SPOT
2026-03-19,SGD,0.744613,ACCOUNTING
2026-03-19,AED,0.273338,SPOT
2026-03-19,AED,0.272158,ACCOUNTING
2026-03-20,INR,0.012013,SPOT
2026-03-20,INR,0.012043,ACCOUNTING
2026-03-20,SGD,0.743019,SPOT
2026-03-20,SGD,0.744568,ACCOUNTING
2026-03-20,AED,0.271135,SPOT
2026-03-20,AED,0.272142,ACCOUNTING
2026-03-21,INR,0.011944,SPOT
2026-03-21,INR,0.012042,ACCOUNTING
2026-03-21,SGD,0.745432,SPOT
2026-03-21,SGD,0.744526,ACCOUNTING
2026-03-21,AED,0.272261,SPOT
2026-03-21,AED,0.272127,ACCOUNTING
2026-03-22,INR,0.01209,SPOT
2026-03-22,INR,0.012042,ACCOUNTING
2026-03-22,SGD,0.751286,SPOT
2026-03-22,SGD,0.744487,ACCOUNTING
2026-03-22,AED,0.271882,SPOT
2026-03-22,AED,0.272113,ACCOUNTING
2026-03-23,INR,0.012167,SPOT
2026-03-23,INR,0.012041,ACCOUNTING
2026-03-23,SGD,0.748976,SPOT
2026-03-23,SGD,0.744451,ACCOUNTING
2026-03-23,AED,0.275236,SPOT
2026-03-23,AED,0.272099,ACCOUNTING
2026-03-24,INR,0.011995,SPOT
2026-03-24,INR,0.012041,ACCOUNTING
2026-03-24,SGD,0.75194,SPOT
2026-03-24,SGD,0.744418,ACCOUNTING
2026-03-24,AED,0.271818,SPOT
2026-03-24,AED,0.272087,ACCOUNTING
2026-03-25,INR,0.01202,SPOT
2026-03-25,INR,0.01204,ACCOUNTING
2026-03-25,SGD,0.746454,SPOT
2026-03-25,SGD,0.744388,ACCOUNTING
2026-03-25,AED,0.271541,SPOT
2026-03-25,AED,0.272076,ACCOUNTING
2026-03-26,INR,0.012109,SPOT
2026-03-26,INR,0.01204,ACCOUNTING
2026-03-26,SGD,0.750498,SPOT
2026-03-26,SGD,0.744362,ACCOUNTING
2026-03-26,AED,0.273742,SPOT
2026-03-26,AED,0.272067,ACCOUNTING
2026-03-27,INR,0.012074,SPOT
2026-03-27,INR,0.012039,ACCOUNTING
2026-03-27,SGD,0.752031,SPOT
2026-03-27,SGD,0.744339,ACCOUNTING
2026-03-27,AED,0.273643,SPOT
2026-03-27,AED,0.272058,ACCOUNTING
2026-03-28,INR,0.012068,SPOT
2026-03-28,INR,0.012039,ACCOUNTING
2026-03-28,SGD,0.746209,SPOT
2026-03-28,SGD,0.744319,ACCOUNTING
2026-03-28,AED,0.271506,SPOT
2026-03-28,AED,0.272051,ACCOUNTING
2026-03-29,INR,0.012009,SPOT
2026-03-29,INR,0.012039,ACCOUNTING
2026-03-29,SGD,0.744767,SPOT
2026-03-29,SGD,0.744302,ACCOUNTING
2026-03-29,AED,0.271238,SPOT
2026-03-29,AED,0.272045,ACCOUNTING
2026-03-30,INR,0.011996,SPOT
2026-03-30,INR,0.012039,ACCOUNTING
2026-03-30,SGD,0.742722,SPOT
2026-03-30,SGD,0.744289,ACCOUNTING
2026-03-30,AED,0.274722,SPOT
2026-03-30,AED,0.27204,ACCOUNTING
2026-03-31,INR,0.012021,SPOT
2026-03-31,INR,0.012038,ACCOUNTING
2026-03-31,SGD,0.750529,SPOT
2026-03-31,SGD,0.74428,ACCOUNTING
2026-03-31,AED,0.271927,SPOT
2026-03-31,AED,0.272037,ACCOUNTING
2026-04-01,INR,0.012094,SPOT
2026-04-01,INR,0.012038,ACCOUNTING
2026-04-01,SGD,0.743224,SPOT
2026-04-01,SGD,0.744275,ACCOUNTING
2026-04-01,AED,0.273301,SPOT
2026-04-01,AED,0.272035,ACCOUNTING
2026-04-02,INR,0.012245,SPOT
2026-04-02,INR,0.012038,ACCOUNTING
2026-04-02,SGD,0.743764,SPOT
2026-04-02,SGD,0.744273,ACCOUNTING
2026-04-02,AED,0.272509,SPOT
2026-04-02,AED,0.272034,ACCOUNTING
2026-04-03,INR,0.011995,SPOT
2026-04-03,INR,0.012038,ACCOUNTING
2026-04-03,SGD,0.751819,SPOT
2026-04-03,SGD,0.744274,ACCOUNTING
2026-04-03,AED,0.275053,SPOT
2026-04-03,AED,0.272035,ACCOUNTING
2026-04-04,INR,0.012014,SPOT
2026-04-04,INR,0.012038,ACCOUNTING
2026-04-04,SGD,0.746222,SPOT
2026-04-04,SGD,0.74428,ACCOUNTING
2026-04-04,AED,0.273691,SPOT
2026-04-04,AED,0.272037,ACCOUNTING
2026-04-05,INR,0.012086,SPOT
2026-04-05,INR,0.012039,ACCOUNTING
2026-04-05,SGD,0.74281,SPOT
2026-04-05,SGD,0.744289,ACCOUNTING
2026-04-05,AED,0.271432,SPOT
2026-04-05,AED,0.27204,ACCOUNTING
2026-04-06,INR,0.011993,SPOT
2026-04-06,INR,0.012039,ACCOUNTING
2026-04-06,SGD,0.751545,SPOT
2026-04-06,SGD,0.744302,ACCOUNTING
2026-04-06,AED,0.274103,SPOT
2026-04-06,AED,0.272045,ACCOUNTING
2026-04-07,INR,0.012203,SPOT
2026-04-07,INR,0.012039,ACCOUNTING
2026-04-07,SGD,0.742481,SPOT
2026-04-07,SGD,0.744319,ACCOUNTING
2026-04-07,AED,0.273516,SPOT
2026-04-07,AED,0.272051,ACCOUNTING
2026-04-08,INR,0.012092,SPOT
2026-04-08,INR,0.012039,ACCOUNTING
2026-04-08,SGD,0.748667,SPOT
2026-04-08,SGD,0.744339,ACCOUNTING
2026-04-08,AED,0.27403,SPOT
2026-04-08,AED,0.272058,ACCOUNTING
2026-04-09,INR,0.012314,SPOT
2026-04-09,INR,0.01204,ACCOUNTING
2026-04-09,SGD,0.761145,SPOT
2026-04-09,SGD,0.744363,ACCOUNTING
2026-04-09,AED,0.273628,SPOT
2026-04-09,AED,0.272067,ACCOUNTING
2026-04-10,INR,0.0122,SPOT
2026-04-10,INR,0.01204,ACCOUNTING
2026-04-10,SGD,0.743197,SPOT
2026-04-10,SGD,0.744391,ACCOUNTING
2026-04-10,AED,0.272886,SPOT
2026-04-10,AED,0.272077,ACCOUNTING
2026-04-11,INR,0.012026,SPOT
2026-04-11,INR,0.012041,ACCOUNTING
2026-04-11,SGD,0.748196,SPOT
2026-04-11,SGD,0.744422,ACCOUNTING
2026-04-11,AED,0.273915,SPOT
2026-04-11,AED,0.272089,ACCOUNTING
2026-04-12,INR,0.01225,SPOT
2026-04-12,INR,0.012041,ACCOUNTING
2026-04-12,SGD,0.742927,SPOT
2026-04-12,SGD,0.744457,ACCOUNTING
2026-04-12,AED,0.275231,SPOT
2026-04-12,AED,0.272101,ACCOUNTING
2026-04-13,INR,0.012054,SPOT
2026-04-13,INR,0.012042,ACCOUNTING
2026-04-13,SGD,0.744616,SPOT
2026-04-13,SGD,0.744495,ACCOUNTING
2026-04-13,AED,0.272687,SPOT
2026-04-13,AED,0.272115,ACCOUNTING
2026-04-14,INR,0.012228,SPOT
2026-04-14,INR,0.012042,ACCOUNTING
2026-04-14,SGD,0.738366,SPOT
2026-04-14,SGD,0.744536,ACCOUNTING
2026-04-14,AED,0.273818,SPOT
2026-04-14,AED,0.272131,ACCOUNTING
2026-04-15,INR,0.012166,SPOT
