chargeback_id,transaction_id,reason,amount,opened_at,resolved_at
CB0000173,T00015096,fraud,2493.78,2026-05-25,2026-06-17
CB0000174,T00015114,service_not_received,3911.22,2026-04-05,2026-05-10
CB0000175,T00015138,fraud,53.54,2026-02-16,2026-03-11
CB0000176,T00015226,fraud,981.36,2026-05-28,
CB0000177,T00015302,service_not_received,30.49,2026-05-31,2026-06-10
CB0000178,T00015516,duplicate,16.56,2026-08-05,2026-09-25
CB0000179,T00015532,customer_dispute,1108.68,2026-07-04,2026-08-21
CB0000180,T00015534,fraud,1638.12,2026-02-22,2026-04-09
CB0000181,T00015579,service_not_received,1067.03,2026-05-27,2026-07-04
CB0000182,T00015639,customer_dispute,1594.8,2026-05-11,
CB0000183,T00015640,service_not_received,25.52,2026-07-30,
CB0000184,T00015666,fraud,1479.1,2026-07-01,
CB0000185,T00015689,fraud,18.61,2026-05-05,2026-06-05
CB0000186,T00015704,customer_dispute,4847.35,2026-02-19,2026-03-13
CB0000187,T00015777,customer_dispute,16.06,2026-08-10,2026-08-20
CB0000188,T00016207,customer_dispute,579.94,2026-04-11,
CB0000189,T00016215,customer_dispute,1275.0,2026-05-21,2026-07-15
CB0000190,T00016244,service_not_received,3015.34,2026-07-29,
CB0000191,T00016393,customer_dispute,19.7,2026-05-19,2026-07-06
CB0000192,T00016424,duplicate,21.99,2026-06-12,
CB0000193,T00016436,customer_dispute,940.3,2026-06-15,
CB0000194,T00016470,service_not_received,3735.15,2026-07-02,2026-07-31
CB0000195,T00016478,fraud,43.46,2026-03-24,
CB0000196,T00016578,service_not_received,29.87,2026-05-29,2026-06-09
CB0000197,T00016635,customer_dispute,28.13,2026-07-21,2026-09-03
CB0000198,T00016814,customer_dispute,709.59,2026-06-09,2026-06-23
CB0000199,T00016827,fraud,20.57,2026-05-19,2026-07-03
CB0000200,T00016911,duplicate,4683.55,2026-06-15,
CB0000201,T00016979,customer_dispute,44.53,2026-04-29,2026-05-26
CB0000202,T00017047,fraud,750.55,2026-06-27,2026-08-17
CB0000203,T00017302,customer_dispute,39.55,2026-06-12,2026-07-12
CB0000204,T00017343,fraud,59.34,2026-05-06,2026-06-23
CB0000205,T00017525,fraud,1212.81,2026-06-12,2026-07-07
CB0000206,T00017634,customer_dispute,1609.7,2026-03-07,2026-04-09
CB0000207,T00017665,service_not_received,32.43,2026-05-30,2026-06-14
CB0000208,T00017684,service_not_received,7.94,2026-06-14,2026-07-03
CB0000209,T00017703,duplicate,14.28,2026-02-21,2026-03-10
CB0000210,T00017731,service_not_received,1520.85,2026-04-25,2026-05-20
CB0000211,T00017937,fraud,807.14,2026-06-24,2026-08-01
CB0000212,T00017982,fraud,1284.91,2026-07-07,2026-08-04
CB0000213,T00018008,fraud,92.68,2026-05-14,
CB0000214,T00018046,fraud,128.76,2026-04-18,2026-05-28
CB0000215,T00018238,service_not_received,25.53,2026-06-02,2026-06-24
CB0000216,T00018243,customer_dispute,9726.77,2026-07-05,
CB0000217,T00018258,duplicate,945.93,2026-05-08,
CB0000218,T00018281,customer_dispute,27.26,2026-06-06,2026-07-15
CB0000219,T00018293,fraud,421.41,2026-03-29,2026-04-14
CB0000220,T00018299,customer_dispute,1239.6,2026-08-07,2026-10-04
CB0000221,T00018406,service_not_received,27.9,2026-07-23,2026-08-17
CB0000222,T00018469,duplicate,54.7,2026-04-30,
CB0000223,T00018739,fraud,31.35,2026-07-06,2026-07-16
CB0000224,T00018740,fraud,3098.1,2026-05-25,2026-06-25
CB0000225,T00018819,customer_dispute,2008.04,2026-06-04,
CB0000226,T00018824,fraud,137.42,2026-05-13,2026-05-26
CB0000227,T00018884,fraud,58.62,2026-05-16,2026-07-04
CB0000228,T00018911,fraud,4568.61,2026-03-20,2026-04-16
CB0000229,T00018990,fraud,9.02,2026-05-21,2026-07-02
CB0000230,T00019035,fraud,22.34,2026-03-16,2026-04-07
CB0000231,T00019136,customer_dispute,23.61,2026-05-31,
CB0000232,T00019282,customer_dispute,2093.39,2026-06-01,2026-07-06
CB0000233,T00019365,customer_dispute,649.48,2026-08-02,
CB0000234,T00019483,fraud,621.61,2026-06-24,2026-08-17
CB0000235,T00019770,fraud,26.26,2026-06-09,2026-07-17
CB0000236,T00019784,service_not_received,2745.95,2026-05-18,
CB0000237,T00019828,fraud,38.7,2026-05-06,2026-06-10
CB0000238,T00019882,customer_dispute,104.13,2026-06-19,2026-08-07
CB0000239,T00019897,fraud,1590.74,2026-05-31,
CB0000240,T00019921,customer_dispute,32.63,2026-05-24,
CB0000241,T00019994,fraud,20.69,2026-04-01,2026-05-10
CB0000242,T00020018,fraud,68.06,2026-04-21,2026-06-07
CB0000243,T00020029,duplicate,41.72,2026-04-13,2026-05-07
CB0000244,T00020240,service_not_received,1907.05,2026-07-21,2026-09-08
CB0000245,T00020344,customer_dispute,1983.49,2026-03-02,
CB0000246,T00020459,fraud,689.0,2026-06-28,2026-07-21
CB0000247,T00020483,customer_dispute,51.25,2026-07-25,2026-09-01
CB0000248,T00020625,fraud,10041.67,2026-05-17,2026-07-03
CB0000249,T00020717,fraud,7554.38,2026-04-07,2026-06-02
CB0000250,T00020730,service_not_received,8.55,2026-06-29,
CB0000251,T00020790,fraud,1526.61,2026-05-16,2026-07-06
CB0000252,T00020905,service_not_received,367.15,2026-05-06,2026-06-15
CB0000253,T00020960,fraud,2651.52,2026-03-05,2026-05-02
CB0000254,T00020976,fraud,1032.63,2026-03-15,2026-05-11
CB0000255,T00021273,service_not_received,18.25,2026-02-07,
CB0000256,T00021385,fraud,1290.92,2026-03-02,2026-03-14
CB0000257,T00021404,service_not_received,2344.12,2026-06-06,
CB0000258,T00021474,service_not_received,32.9,2026-02-23,2026-04-20
CB0000259,T00021493,customer_dispute,976.85,2026-06-16,
CB0000260,T00021613,service_not_received,856.39,2026-06-23,2026-07-21
CB0000261,T00021624,duplicate,762.7,2026-06-19,2026-08-13
CB0000262,T00021632,customer_dispute,3682.2,2026-05-30,
CB0000263,T00021750,customer_dispute,1069.73,2026-06-09,
CB0000264,T00021782,fraud,1194.99,2026-06-11,2026-08-08
CB0000265,T00021789,fraud,61.96,2026-06-27,
CB0000266,T00021844,service_not_received,3061.23,2026-06-22,
CB0000267,T00021863,service_not_received,2098.25,2026-06-25,
CB0000268,T00021893,service_not_received,16.92,2026-05-30,2026-06-12
CB0000269,T00021922,fraud,5470.32,2026-08-02,2026-08-21
CB0000270,T00021997,duplicate,162.47,2026-05-30,2026-07-06
CB0000271,T00022057,service_not_received,87.63,2026-05-01,2026-05-27
CB0000272,T00022120,fraud,237.45,2026-04-19,2026-05-11
CB0000273,T00022444,service_not_received,2038.58,2026-06-29,2026-08-09
CB0000274,T00022528,fraud,24.93,2026-06-22,2026-08-13
CB0000275,T00022532,customer_dispute,1807.15,2026-03-26,2026-05-24
CB0000276,T00022536,customer_dispute,12602.7,2026-05-06,2026-06-29
CB0000277,T00022555,customer_dispute,2286.56,2026-06-06,2026-08-02
CB0000278,T00022882,duplicate,467.72,2026-07-06,2026-08-21
CB0000279,T00023231,customer_dispute,27.03,2026-02-23,2026-03-10
CB0000280,T00023319,service_not_received,9818.52,2026-02-21,2026-04-04
CB0000281,T00023377,customer_dispute,8.52,2026-06-30,2026-08-28
CB0000282,T00023392,fraud,253.47,2026-01-25,
CB0000283,T00023576,fraud,63.83,2026-05-05,2026-06-01
CB0000284,T00023757,service_not_received,1707.01,2026-08-04,2026-08-14
CB0000285,T00023861,customer_dispute,494.48,2026-07-15,2026-09-04
CB0000286,T00023922,customer_dispute,39.32,2026-07-28,2026-09-11
CB0000287,T00024007,duplicate,788.88,2026-07-01,2026-08-12
CB0000288,T00024018,duplicate,9.05,2026-05-11,2026-07-04
CB0000289,T00024021,service_not_received,785.94,2026-07-07,2026-08-26
CB0000290,T00024057,duplicate,2973.31,2026-07-07,2026-07-19
CB0000291,T00024138,fraud,14.57,2026-04-10,2026-05-01
CB0000292,T00024139,duplicate,2615.01,2026-06-30,2026-07-22
CB0000293,T00024576,fraud,2037.56,2026-05-25,2026-07-16
CB0000294,T00024704,customer_dispute,84.98,2026-03-24,2026-04-05
CB0000295,T00024726,service_not_received,974.64,2026-07-31,2026-09-20
CB0000296,T00024806,fraud,36.75,2026-08-03,
CB0000297,T00024912,customer_dispute,2184.85,2026-07-10,
CB0000298,T00024951,fraud,3766.36,2026-03-24,2026-05-22
CB0000299,T00024980,customer_dispute,2813.27,2026-05-04,
CB0000300,T00024983,duplicate,65.26,2026-06-16,2026-07-28
CB0000301,T00025017,duplicate,3564.38,2026-05-23,
CB0000302,T00025047,customer_dispute,211.47,2026-05-12,2026-06-06
CB0000303,T00025186,fraud,539.96,2026-04-06,2026-04-21
CB0000304,T00025251,duplicate,1426.0,2026-04-13,
CB0000305,T00025309,service_not_received,5.42,2026-06-17,
CB0000306,T00025322,customer_dispute,1458.4,2026-05-07,
CB0000307,T00025333,service_not_received,3592.32,2026-05-09,2026-06-09
CB0000308,T00025471,service_not_received,66.49,2026-04-28,2026-06-06
CB0000309,T00025683,fraud,6977.7,2026-07-05,2026-08-22
CB0000310,T00025705,fraud,5.59,2026-03-14,
CB0000311,T00025734,customer_dispute,1079.58,2026-07-31,2026-08-24
CB0000312,T00025867,fraud,768.14,2026-07-05,2026-08-22
CB0000313,T00025930,fraud,4197.05,2026-05-25,
CB0000314,T00025935,fraud,833.11,2026-04-09,2026-05-15
CB0000315,T00026029,service_not_received,41.76,2026-06-13,2026-07-20
CB0000316,T00026044,fraud,3172.28,2026-04-25,2026-05-11
CB0000317,T00026146,service_not_received,2355.15,2026-05-05,2026-05-26
CB0000318,T00026184,fraud,30.81,2026-04-09,
CB0000319,T00026193,customer_dispute,56.0,2026-06-25,2026-08-04
CB0000320,T00026201,customer_dispute,5495.08,2026-06-28,
CB0000321,T00026202,customer_dispute,1612.86,2026-06-19,2026-08-02
CB0000322,T00026215,service_not_received,22.77,2026-02-28,2026-03-17
CB0000323,T00026330,service_not_received,565.32,2026-05-25,
CB0000324,T00026424,fraud,158.14,2026-06-18,2026-07-20
CB0000325,T00026536,customer_dispute,33.57,2026-06-11,
CB0000326,T00026653,fraud,440.27,2026-05-07,2026-05-22
CB0000327,T00026755,service_not_received,4744.33,2026-07-14,2026-08-12
CB0000328,T00026853,duplicate,942.23,2026-04-11,
CB0000329,T00026877,duplicate,22.46,2026-05-16,2026-05-29
CB0000330,T00027034,fraud,3531.41,2026-03-19,2026-05-05
CB0000331,T00027054,fraud,39.86,2026-05-28,2026-07-14
CB0000332,T00027094,fraud,24.43,2026-06-07,2026-07-16
CB0000333,T00027547,service_not_received,1274.53,2026-02-22,
CB0000334,T00027579,service_not_received,38.63,2026-06-22,
CB0000335,T00027705,fraud,12.33,2026-04-17,2026-05-16
CB0000336,T00027758,service_not_received,15.35,2026-07-01,2026-08-10
CB0000337,T00027811,duplicate,3773.57,2026-07-07,2026-08-09
CB0000338,T00027813,customer_dispute,76.48,2026-03-14,2026-04-18
CB0000339,T00027891,service_not_received,82.08,2026-01-27,2026-03-07
CB0000340,T00027896,service_not_received,27.72,2026-01-18,2026-02-08
CB0000341,T00027954,service_not_received,3494.71,2026-05-26,2026-07-20
CB0000342,T00028001,fraud,13.53,2026-05-30,2026-07-22
CB0000343,T00028060,fraud,171.45,2026-07-08,2026-08-17
CB0000344,T00028081,customer_dispute,483.15,2026-05-22,2026-07-08
CB0000345,T00028359,duplicate,160.09,2026-07-22,2026-09-10
CB0000346,T00028448,duplicate,1849.12,2026-06-26,2026-07-30
CB0000347,T00028524,customer_dispute,56.82,2026-06-01,2026-06-16
CB0000348,T00028530,customer_dispute,893.6,2026-02-13,2026-03-06
CB0000349,T00028575,fraud,8.69,2026-04-22,2026-05-30
CB0000350,T00028584,customer_dispute,3941.17,2026-07-03,2026-08-03
CB0000351,T00028713,fraud,28.91,2026-03-03,
CB0000352,T00028780,fraud,9.36,2026-06-14,2026-07-17
CB0000353,T00028848,fraud,2179.67,2026-06-16,2026-07-24
CB0000354,T00028877,fraud,1499.38,2026-06-19,2026-08-06
CB0000355,T00028997,fraud,2039.8,2026-06-24,
CB0000356,T00029006,fraud,1863.82,2026-02-28,2026-04-21
CB0000357,T00029152,customer_dispute,1207.27,2026-05-27,2026-07-15
CB0000358,T00029315,service_not_received,12.07,2026-04-24,2026-05-06
CB0000359,T00029440,service_not_received,20.7,2026-05-09,
CB0000360,T00029730,duplicate,321.51,2026-04-27,2026-06-20
CB0000361,T00029771,fraud,830.84,2026-07-26,
CB0000362,T00029781,customer_dispute,69.49,2026-06-02,
CB0000363,T00029841,fraud,265.05,2026-05-29,2026-07-20
CB0000364,T00029930,customer_dispute,8.17,2026-01-24,2026-03-22
CB0000365,T00029960,service_not_received,1501.49,2026-06-20,2026-08-05
CB0000366,T00030172,fraud,484.91,2026-02-01,2026-03-23
CB0000367,T00030200,service_not_received,611.5,2026-05-15,2026-06-15
CB0000368,T00030206,customer_dispute,1651.74,2026-05-29,2026-07-08
CB0000369,T00030209,service_not_received,519.94,2026-03-19,2026-04-02
CB0000370,T00030229,service_not_received,51.07,2026-06-29,2026-07-27
CB0000371,T00030357,service_not_received,15.02,2026-06-24,
CB0000372,T00030443,fraud,37.22,2026-06-05,2026-07-27
CB0000373,T00030459,service_not_received,26.92,2026-05-21,2026-07-08
CB0000374,T00030743,duplicate,30.78,2026-04-24,2026-06-04
CB0000375,T00030772,customer_dispute,1119.16,2026-04-28,2026-06-11
CB0000376,T00030832,customer_dispute,5.82,2026-07-01,
CB0000377,T00030945,service_not_received,36.88,2026-06-29,2026-07-24
CB0000378,T00030963,fraud,1595.73,2026-02-12,2026-02-28
CB0000379,T00031060,fraud,2879.2,2026-02-16,2026-03-12
CB0000380,T00031185,fraud,75.16,2026-03-25,2026-05-12
CB0000381,T00031266,fraud,1736.94,2026-05-05,2026-06-05
CB0000382,T00031343,customer_dispute,864.12,2026-08-05,
CB0000383,T00031383,fraud,41.46,2026-03-10,
CB0000384,T00031387,customer_dispute,48.28,2026-05-21,2026-07-12
CB0000385,T00031467,duplicate,1005.39,2026-03-04,2026-04-04
CB0000386,T00031531,fraud,285.28,2026-04-10,
CB0000387,T00031822,fraud,456.0,2026-03-03,2026-04-20
CB0000388,T00031874,fraud,1550.92,2026-07-06,2026-07-26
CB0000389,T00032295,customer_dispute,1610.84,2026-04-27,2026-05-23
CB0000390,T00032346,fraud,2735.52,2026-03-11,
CB0000391,T00032373,customer_dispute,1089.95,2026-04-22,2026-06-17
CB0000392,T00032385,fraud,797.43,2026-05-12,2026-05-24
CB0000393,T00032422,customer_dispute,2121.91,2026-06-16,2026-07-05
CB0000394,T00032486,customer_dispute,1427.79,2026-06-30,2026-07-29
CB0000395,T00032539,fraud,14.71,2026-08-02,2026-09-06
CB0000396,T00032566,service_not_received,481.28,2026-04-28,2026-06-13
CB0000397,T00032623,customer_dispute,4530.62,2026-01-13,
CB0000398,T00032716,service_not_received,10450.52,2026-02-12,2026-04-01
CB0000399,T00032872,fraud,332.5,2026-03-11,2026-04-17
CB0000400,T00032956,fraud,1242.54,2026-04-16,2026-06-08
CB0000401,T00032969,duplicate,111.2,2026-07-14,2026-08-08
CB0000402,T00032976,duplicate,921.22,2026-07-20,
CB0000403,T00033013,fraud,519.92,2026-02-27,2026-04-18
CB0000404,T00033361,customer_dispute,8370.51,2026-04-21,2026-05-07
CB0000405,T00033439,fraud,92.82,2026-05-14,
CB0000406,T00033478,fraud,57.07,2026-06-10,2026-08-05
CB0000407,T00033545,customer_dispute,13871.48,2026-06-02,
CB0000408,T00033560,duplicate,49.63,2026-06-27,2026-08-15
CB0000409,T00033566,fraud,1119.74,2026-06-10,
CB0000410,T00033670,duplicate,11.73,2026-06-27,2026-08-06
CB0000411,T00033776,customer_dispute,939.95,2026-02-01,
CB0000412,T00033857,customer_dispute,2317.86,2026-05-17,2026-07-15
CB0000413,T00033865,duplicate,32.91,2026-05-03,
CB0000414,T00033870,customer_dispute,4176.38,2026-04-03,2026-04-25
CB0000415,T00033873,customer_dispute,2342.3,2026-05-17,
CB0000416,T00034126,duplicate,1054.85,2026-04-10,
CB0000417,T00034209,service_not_received,515.37,2026-05-03,2026-05-22
CB0000418,T00034270,customer_dispute,48.09,2026-02-17,2026-03-12
CB0000419,T00034429,fraud,14.41,2026-04-26,2026-05-27
CB0000420,T00034607,service_not_received,1167.0,2026-06-30,
