transaction_id,rule_id,decision,risk_score,model_version
T00000234,watchlist,APPROVE,0.0386,v2.0
T00000235,velocity,APPROVE,0.1409,v1.8
T00000236,velocity,APPROVE,0.3566,v1.8
T00000237,velocity,APPROVE,0.2176,v2.0
T00000238,none,APPROVE,0.0,v1.8
T00000239,geo_mismatch,APPROVE,0.0,v2.0
T00000240,none,APPROVE,0.4719,v2.0
T00000241,none,APPROVE,-0.18,v2.0
T00000242,velocity,APPROVE,0.7233,v1.8
T00000243,amount_spike,APPROVE,0.3736,v2.0
T00000244,new_device,APPROVE,0.0,v1.8
T00000245,amount_spike,APPROVE,0.4824,v2.0
T00000246,new_device,APPROVE,0.2512,v2.0
T00000247,watchlist,APPROVE,0.434,v1.8
T00000248,none,APPROVE,0.0,v1.8
T00000249,new_device,APPROVE,0.5919,v2.0
T00000250,new_device,APPROVE,0.287,v2.0
T00000251,geo_mismatch,APPROVE,0.1468,v1.8
T00000252,none,APPROVE,0.1859,v1.8
T00000253,new_device,APPROVE,0.5099,v2.0
T00000254,new_device,APPROVE,0.2851,v1.8
T00000255,watchlist,APPROVE,0.1341,v2.0
T00000256,none,APPROVE,0.5915,v1.8
T00000257,velocity,APPROVE,0.2664,v1.8
T00000258,geo_mismatch,APPROVE,0.3457,v1.8
T00000259,velocity,APPROVE,0.6421,v2.0
T00000260,new_device,APPROVE,0.2795,v1.8
T00000261,amount_spike,APPROVE,0.8395,v2.0
T00000262,geo_mismatch,APPROVE,0.3301,v2.0
T00000263,amount_spike,APPROVE,0.6476,v2.0
T00000264,velocity,APPROVE,0.4037,v2.0
T00000265,velocity,APPROVE,0.0091,v2.0
T00000266,none,APPROVE,0.296,v2.0
T00000267,new_device,APPROVE,0.7886,v2.0
T00000268,geo_mismatch,DECLINE,0.3031,v1.8
T00000269,new_device,APPROVE,0.2473,v2.0
T00000270,none,REVIEW,0.8583,v2.0
T00000271,none,APPROVE,0.5817,v2.0
T00000272,amount_spike,APPROVE,0.0496,v1.8
T00000273,new_device,DECLINE,0.333,v2.0
T00000274,geo_mismatch,APPROVE,0.0,v1.8
T00000275,velocity,APPROVE,0.4698,v1.8
T00000276,new_device,APPROVE,0.0925,v2.0
T00000277,amount_spike,APPROVE,0.0,v2.0
T00000278,new_device,APPROVE,0.4817,v1.8
T00000279,velocity,APPROVE,0.2126,v1.8
T00000280,geo_mismatch,APPROVE,0.3234,v1.8
T00000281,none,APPROVE,0.1671,v2.0
T00000282,none,APPROVE,1.0,v2.0
T00000283,new_device,APPROVE,0.0804,v2.0
T00000284,none,APPROVE,0.4523,v2.0
T00000285,new_device,APPROVE,0.6372,v2.0
T00000286,amount_spike,DECLINE,0.1959,v1.8
T00000287,none,APPROVE,0.5446,v1.8
T00000288,velocity,APPROVE,0.3248,v2.0
T00000289,none,APPROVE,0.1326,v1.8
T00000290,velocity,APPROVE,0.552,v1.8
T00000291,amount_spike,APPROVE,0.4581,v2.0
T00000292,velocity,APPROVE,0.2196,v1.8
T00000293,none,APPROVE,0.6427,v2.0
T00000294,geo_mismatch,APPROVE,0.0159,v1.8
T00000295,amount_spike,APPROVE,0.1487,v2.0
T00000296,none,APPROVE,0.1356,v1.8
T00000297,none,APPROVE,0.7163,v1.8
T00000298,watchlist,APPROVE,0.5425,v2.0
T00000299,amount_spike,APPROVE,-0.18,v2.0
T00000300,none,APPROVE,0.1813,v1.8
T00000301,none,APPROVE,0.2862,v1.8
T00000302,new_device,APPROVE,0.0763,v2.0
T00000303,new_device,APPROVE,0.4214,v1.8
T00000304,none,APPROVE,0.143,v2.0
T00000305,none,APPROVE,0.5475,v2.0
T00000306,amount_spike,APPROVE,0.11,v1.8
T00000307,velocity,APPROVE,0.512,v1.8
T00000308,velocity,APPROVE,0.629,v1.8
T00000309,none,APPROVE,0.4972,v1.8
T00000310,velocity,APPROVE,0.4166,v1.8
T00000311,velocity,APPROVE,0.6491,v2.0
T00000312,amount_spike,APPROVE,0.2954,v2.0
T00000313,new_device,APPROVE,0.5625,v2.0
T00000314,none,DECLINE,0.0,v1.8
T00000315,velocity,APPROVE,0.2251,v2.0
T00000316,geo_mismatch,DECLINE,0.1718,v1.8
T00000317,none,APPROVE,0.6844,v1.8
T00000318,watchlist,APPROVE,0.5357,v1.8
T00000319,amount_spike,APPROVE,0.1999,v2.0
T00000320,geo_mismatch,APPROVE,0.6074,v2.0
T00000321,velocity,APPROVE,0.2998,v2.0
T00000322,new_device,APPROVE,0.1599,v1.8
T00000323,new_device,APPROVE,0.4314,v1.8
T00000324,none,APPROVE,0.2486,v1.8
T00000325,none,APPROVE,0.1036,v1.8
T00000326,new_device,APPROVE,0.0,v1.8
T00000327,none,APPROVE,0.7,v1.8
T00000328,amount_spike,APPROVE,0.0,v1.8
T00000329,none,APPROVE,0.0793,v1.8
T00000330,amount_spike,DECLINE,0.2719,v1.8
T00000331,geo_mismatch,APPROVE,0.2433,v2.0
T00000332,velocity,APPROVE,0.7702,v2.0
T00000333,amount_spike,APPROVE,0.7656,v2.0
T00000334,velocity,APPROVE,0.296,v1.8
T00000335,none,APPROVE,0.4388,v1.8
T00000336,new_device,APPROVE,0.12,v1.8
T00000337,none,APPROVE,0.1201,v1.8
T00000338,watchlist,APPROVE,0.3702,v2.0
T00000339,velocity,APPROVE,0.2263,v1.8
T00000340,new_device,APPROVE,0.516,v2.0
T00000341,new_device,APPROVE,0.3223,v2.0
T00000342,new_device,APPROVE,0.2794,v2.0
T00000343,new_device,APPROVE,0.6653,v2.0
T00000344,none,APPROVE,0.1303,v2.0
T00000345,none,APPROVE,0.4774,v2.0
T00000346,none,APPROVE,0.7384,v2.0
T00000347,none,APPROVE,0.7401,v2.0
T00000348,geo_mismatch,APPROVE,0.2962,v1.8
T00000349,amount_spike,APPROVE,0.0898,v1.8
T00000350,velocity,APPROVE,0.135,v1.8
T00000351,velocity,REVIEW,0.9046,v1.8
T00000352,amount_spike,APPROVE,0.1889,v2.0
T00000353,none,APPROVE,0.1179,v1.8
T00000354,watchlist,APPROVE,0.1718,v1.8
T00000355,new_device,APPROVE,0.3478,v1.8
T00000356,new_device,APPROVE,0.0726,v2.0
T00000357,none,APPROVE,0.2684,v1.8
T00000358,none,APPROVE,0.2302,v1.8
T00000359,velocity,APPROVE,0.4859,v2.0
T00000360,velocity,APPROVE,0.7192,v2.0
T00000361,none,APPROVE,0.2694,v2.0
T00000362,none,APPROVE,0.3464,v2.0
T00000363,watchlist,APPROVE,0.2252,v2.0
T00000364,none,APPROVE,0.0,v1.8
T00000365,velocity,APPROVE,0.3872,v1.8
T00000366,velocity,APPROVE,0.5585,v2.0
T00000367,new_device,APPROVE,1.0,v1.8
T00000368,new_device,APPROVE,0.2253,v1.8
T00000369,amount_spike,APPROVE,0.6622,v2.0
T00000370,amount_spike,APPROVE,0.034,v2.0
T00000371,velocity,APPROVE,0.6713,v1.8
T00000372,velocity,APPROVE,0.3105,v1.8
T00000373,geo_mismatch,APPROVE,0.3583,v1.8
T00000374,amount_spike,APPROVE,0.19,v2.0
T00000375,none,APPROVE,0.0,v1.8
T00000376,none,APPROVE,0.0269,v1.8
T00000377,none,APPROVE,0.2417,v2.0
T00000378,velocity,APPROVE,0.6359,v2.0
T00000379,none,APPROVE,0.6379,v2.0
T00000380,velocity,APPROVE,0.676,v2.0
T00000381,none,APPROVE,0.4541,v1.8
T00000382,velocity,APPROVE,0.4524,v2.0
T00000383,geo_mismatch,APPROVE,0.6631,v2.0
T00000384,new_device,APPROVE,0.7308,v2.0
T00000385,new_device,APPROVE,0.2092,v1.8
T00000386,none,APPROVE,0.2188,v1.8
T00000387,watchlist,APPROVE,0.0592,v1.8
T00000388,amount_spike,APPROVE,0.1264,v2.0
T00000389,velocity,APPROVE,0.1188,v1.8
T00000390,none,APPROVE,0.4125,v2.0
T00000391,geo_mismatch,APPROVE,0.1566,v1.8
T00000392,amount_spike,APPROVE,0.6012,v1.8
T00000393,new_device,APPROVE,0.3143,v2.0
T00000394,new_device,DECLINE,0.6163,v2.0
T00000395,new_device,APPROVE,0.5642,v1.8
T00000396,velocity,APPROVE,0.1206,v2.0
T00000397,none,APPROVE,0.2602,v2.0
T00000398,geo_mismatch,APPROVE,0.1017,v1.8
T00000399,geo_mismatch,APPROVE,0.4163,v2.0
T00000400,amount_spike,APPROVE,0.4085,v1.8
T00000401,velocity,APPROVE,0.0236,v2.0
T00000402,new_device,APPROVE,0.6116,v1.8
T00000403,watchlist,APPROVE,0.0,v1.8
T00000404,geo_mismatch,APPROVE,0.4063,v1.8
T00000405,velocity,APPROVE,0.3607,v1.8
T00000406,geo_mismatch,APPROVE,0.2287,v1.8
T00000407,new_device,APPROVE,0.3738,v2.0
T00000408,new_device,APPROVE,0.986,v2.0
T00000409,new_device,APPROVE,0.0972,v1.8
T00000410,velocity,APPROVE,0.1533,v1.8
T00000411,new_device,APPROVE,0.2051,v1.8
T00000412,velocity,APPROVE,0.4366,v1.8
T00000413,new_device,APPROVE,0.2059,v1.8
T00000414,amount_spike,APPROVE,0.1766,v1.8
T00000415,geo_mismatch,APPROVE,1.12,v2.0
T00000416,new_device,APPROVE,0.5572,v1.8
T00000417,new_device,APPROVE,0.3446,v1.8
T00000418,watchlist,DECLINE,0.6931,v1.8
T00000419,none,APPROVE,0.0989,v1.8
T00000420,velocity,APPROVE,0.1018,v1.8
T00000421,none,APPROVE,0.7029,v2.0
T00000422,none,APPROVE,0.3797,v2.0
T00000424,geo_mismatch,APPROVE,0.5804,v1.8
T00000425,new_device,APPROVE,0.198,v1.8
T00000426,new_device,APPROVE,0.1979,v1.8
T00000427,none,APPROVE,0.2243,v1.8
T00000428,geo_mismatch,APPROVE,0.7054,v2.0
T00000429,new_device,APPROVE,0.6873,v2.0
T00000430,geo_mismatch,APPROVE,0.6773,v2.0
T00000431,geo_mismatch,APPROVE,0.5996,v1.8
T00000432,amount_spike,DECLINE,0.3312,v2.0
T00000433,new_device,APPROVE,0.7327,v1.8
T00000434,new_device,APPROVE,0.1213,v2.0
T00000435,velocity,APPROVE,0.523,v1.8
T00000436,velocity,APPROVE,0.2689,v1.8
T00000437,geo_mismatch,APPROVE,0.1683,v1.8
T00000438,watchlist,APPROVE,0.2341,v1.8
T00000439,geo_mismatch,APPROVE,0.8136,v2.0
T00000440,velocity,APPROVE,0.0833,v1.8
T00000441,none,APPROVE,0.5595,v2.0
T00000442,new_device,APPROVE,0.5963,v2.0
T00000443,velocity,APPROVE,0.5693,v2.0
T00000444,none,APPROVE,0.274,v2.0
T00000445,amount_spike,DECLINE,0.4863,v1.8
T00000446,new_device,APPROVE,0.5968,v1.8
T00000447,new_device,APPROVE,0.4122,v1.8
T00000448,new_device,APPROVE,0.6008,v1.8
T00000449,geo_mismatch,APPROVE,0.0435,v2.0
T00000450,none,APPROVE,0.6256,v2.0
T00000451,amount_spike,APPROVE,0.0,v2.0
T00000452,geo_mismatch,APPROVE,0.3059,v1.8
T00000453,velocity,APPROVE,0.3335,v2.0
T00000454,new_device,APPROVE,0.8574,v1.8
T00000455,velocity,APPROVE,0.0557,v1.8
T00000456,new_device,APPROVE,0.3538,v2.0
T00000457,none,APPROVE,0.0584,v1.8
T00000458,velocity,APPROVE,0.3673,v2.0
T00000459,amount_spike,APPROVE,0.1283,v2.0
T00000460,geo_mismatch,APPROVE,0.2632,v2.0
T00000461,velocity,APPROVE,0.3086,v1.8
T00000462,geo_mismatch,APPROVE,0.2624,v2.0
T00000463,velocity,APPROVE,0.0,v1.8
T00000464,velocity,APPROVE,0.2772,v1.8
T00000465,watchlist,APPROVE,0.3858,v1.8
T00000466,amount_spike,APPROVE,0.3751,v1.8
T00000467,none,APPROVE,0.7925,v2.0
T00000468,geo_mismatch,APPROVE,0.4485,v2.0
T00000469,amount_spike,APPROVE,0.077,v2.0
T00000470,amount_spike,APPROVE,0.0989,v1.8
T00000471,geo_mismatch,APPROVE,0.3525,v2.0
T00000472,velocity,APPROVE,0.3481,v1.8
T00000473,velocity,APPROVE,0.5196,v1.8
T00000474,velocity,APPROVE,0.6895,v2.0
T00000475,velocity,APPROVE,0.2271,v2.0
T00000476,none,APPROVE,0.7098,v1.8
T00000477,amount_spike,APPROVE,0.3001,v2.0
T00000478,none,APPROVE,0.1738,v2.0
T00000479,new_device,APPROVE,0.5219,v1.8
T00000480,amount_spike,DECLINE,0.4983,v2.0
T00000481,geo_mismatch,APPROVE,0.3984,v2.0
T00000482,geo_mismatch,APPROVE,0.7213,v2.0
T00000483,none,APPROVE,0.0176,v1.8
T00000484,none,APPROVE,0.2557,v2.0
T00000485,new_device,APPROVE,0.3175,v1.8
T00000486,new_device,APPROVE,0.3461,v2.0
T00000487,none,APPROVE,0.9861,v1.8
T00000488,none,APPROVE,0.0,v1.8
T00000489,velocity,APPROVE,0.3398,v2.0
T00000490,none,APPROVE,0.3937,v1.8
T00000491,amount_spike,APPROVE,0.5377,v2.0
T00000492,new_device,APPROVE,0.6062,v2.0
T00000493,none,APPROVE,0.3493,v1.8
T00000494,velocity,APPROVE,0.0,v1.8
T00000495,none,DECLINE,0.645,v2.0
T00000496,amount_spike,APPROVE,0.7623,v2.0
T00000497,new_device,APPROVE,0.2834,v1.8
T00000498,watchlist,APPROVE,0.4096,v1.8
T00000499,velocity,APPROVE,0.2332,v2.0
T00000500,none,APPROVE,0.2169,v2.0
T00000501,amount_spike,APPROVE,0.7476,v2.0
T00000502,amount_spike,APPROVE,0.0116,v2.0
T00000503,velocity,APPROVE,0.3425,v2.0
T00000504,geo_mismatch,APPROVE,0.0661,v1.8
T00000505,none,APPROVE,0.6055,v1.8
T00000506,amount_spike,APPROVE,0.4874,v1.8
T00000508,geo_mismatch,APPROVE,0.6672,v2.0
T00000509,amount_spike,APPROVE,0.5185,v1.8
T00000510,amount_spike,APPROVE,0.2331,v2.0
T00000511,none,DECLINE,0.589,v1.8
T00000512,geo_mismatch,APPROVE,0.1541,v2.0
T00000513,amount_spike,APPROVE,0.107,v1.8
T00000514,new_device,APPROVE,0.4461,v2.0
T00000515,amount_spike,APPROVE,0.1424,v1.8
T00000516,velocity,APPROVE,0.0,v2.0
T00000517,none,APPROVE,0.1048,v1.8
T00000518,amount_spike,APPROVE,0.3448,v1.8
T00000519,new_device,APPROVE,0.2351,v2.0
T00000520,none,APPROVE,0.2034,v2.0
T00000521,geo_mismatch,APPROVE,0.599,v1.8
T00000522,new_device,DECLINE,0.1624,v2.0
T00000523,amount_spike,APPROVE,0.0,v2.0
T00000524,amount_spike,APPROVE,0.3326,v1.8
T00000525,none,APPROVE,0.5693,v2.0
T00000526,velocity,APPROVE,0.281,v2.0
T00000527,watchlist,APPROVE,0.6024,v1.8
T00000528,none,APPROVE,0.2125,v2.0
T00000529,none,APPROVE,0.3522,v2.0
T00000530,amount_spike,APPROVE,0.38,v2.0
T00000531,velocity,APPROVE,0.6155,v1.8
T00000532,amount_spike,DECLINE,0.1544,v2.0
T00000533,none,APPROVE,0.4435,v2.0
T00000534,geo_mismatch,APPROVE,0.1503,v1.8
T00000535,amount_spike,APPROVE,0.6655,v2.0
T00000536,amount_spike,APPROVE,0.331,v1.8
T00000537,none,APPROVE,0.147,v1.8
T00000538,none,REVIEW,0.9385,v2.0
T00000539,none,APPROVE,0.3047,v1.8
T00000540,none,APPROVE,0.3324,v1.8
T00000541,velocity,DECLINE,0.7123,v1.8
T00000542,geo_mismatch,APPROVE,0.1186,v1.8
T00000543,new_device,APPROVE,0.3344,v2.0
T00000544,geo_mismatch,APPROVE,0.0289,v2.0
T00000545,geo_mismatch,APPROVE,0.7418,v1.8
T00000546,new_device,APPROVE,0.39,v2.0
T00000547,geo_mismatch,APPROVE,0.3773,v1.8
T00000548,none,APPROVE,0.4202,v1.8
T00000549,watchlist,APPROVE,0.4075,v2.0
T00000550,amount_spike,APPROVE,0.4904,v2.0
T00000551,none,APPROVE,0.2628,v1.8
T00000552,velocity,APPROVE,0.0,v2.0
T00000553,amount_spike,APPROVE,0.3564,v1.8
T00000554,none,APPROVE,0.3868,v2.0
T00000555,amount_spike,APPROVE,0.4337,v1.8
T00000556,velocity,APPROVE,0.5779,v2.0
T00000557,velocity,APPROVE,0.3121,v1.8
T00000558,new_device,APPROVE,0.3345,v2.0
T00000559,none,APPROVE,0.2851,v2.0
